dataset,model,detector,treatment,run,fold,score
california_housing,randomforest,Autoencoder,remove,0,0,2273012966.472372
california_housing,randomforest,Autoencoder,remove,0,1,2481225820.943423
california_housing,randomforest,Autoencoder,remove,0,2,2671783965.6706367
california_housing,randomforest,Autoencoder,remove,0,3,2462629747.2729774
california_housing,randomforest,Autoencoder,remove,0,4,2461064756.064039
california_housing,randomforest,Autoencoder,remove,0,5,2508727071.502589
california_housing,randomforest,Autoencoder,remove,0,6,2489876750.4272013
california_housing,randomforest,Autoencoder,remove,0,7,2585463805.253075
california_housing,randomforest,Autoencoder,remove,0,8,2649912456.525999
california_housing,randomforest,Autoencoder,remove,0,9,2670723967.0975246
california_housing,randomforest,Autoencoder,remove,1,0,2645502036.426772
california_housing,randomforest,Autoencoder,remove,1,1,2489230439.8824058
california_housing,randomforest,Autoencoder,remove,1,2,2698830215.6291666
california_housing,randomforest,Autoencoder,remove,1,3,2427041872.13474
california_housing,randomforest,Autoencoder,remove,1,4,2545616178.907554
california_housing,randomforest,Autoencoder,remove,1,5,2403036395.959039
california_housing,randomforest,Autoencoder,remove,1,6,2415493348.082961
california_housing,randomforest,Autoencoder,remove,1,7,2579980588.2492447
california_housing,randomforest,Autoencoder,remove,1,8,2640974557.2482557
california_housing,randomforest,Autoencoder,remove,1,9,2565841132.222915
california_housing,randomforest,Autoencoder,remove,2,0,2895059652.127344
california_housing,randomforest,Autoencoder,remove,2,1,2489090293.5662313
california_housing,randomforest,Autoencoder,remove,2,2,2598140848.1323137
california_housing,randomforest,Autoencoder,remove,2,3,2612896594.005882
california_housing,randomforest,Autoencoder,remove,2,4,2507755888.4456043
california_housing,randomforest,Autoencoder,remove,2,5,2631955129.2354107
california_housing,randomforest,Autoencoder,remove,2,6,2541006440.9361715
california_housing,randomforest,Autoencoder,remove,2,7,2448763436.091957
california_housing,randomforest,Autoencoder,remove,2,8,2400195014.241631
california_housing,randomforest,Autoencoder,remove,2,9,2527267992.8126106
