dataset,model,detector,treatment,run,fold,score
california_housing,randomforest,IsolationForest,remove,0,0,2366675760.792277
california_housing,randomforest,IsolationForest,remove,0,1,2534237995.0833817
california_housing,randomforest,IsolationForest,remove,0,2,2627519082.351377
california_housing,randomforest,IsolationForest,remove,0,3,2408177133.1976066
california_housing,randomforest,IsolationForest,remove,0,4,2538602806.6875467
california_housing,randomforest,IsolationForest,remove,0,5,2520849504.645377
california_housing,randomforest,IsolationForest,remove,0,6,2423723301.135858
california_housing,randomforest,IsolationForest,remove,0,7,2590461955.262139
california_housing,randomforest,IsolationForest,remove,0,8,2613509432.391487
california_housing,randomforest,IsolationForest,remove,0,9,2630867664.9247184
california_housing,randomforest,IsolationForest,remove,1,0,2688690479.748261
california_housing,randomforest,IsolationForest,remove,1,1,2464742026.8928804
california_housing,randomforest,IsolationForest,remove,1,2,2622908285.331209
california_housing,randomforest,IsolationForest,remove,1,3,2522857511.4724545
california_housing,randomforest,IsolationForest,remove,1,4,2521216534.661118
california_housing,randomforest,IsolationForest,remove,1,5,2385098497.277267
california_housing,randomforest,IsolationForest,remove,1,6,2304668376.0860023
california_housing,randomforest,IsolationForest,remove,1,7,2574282041.908857
california_housing,randomforest,IsolationForest,remove,1,8,2661836467.379093
california_housing,randomforest,IsolationForest,remove,1,9,2677250515.362031
california_housing,randomforest,IsolationForest,remove,2,0,2878227407.4407625
california_housing,randomforest,IsolationForest,remove,2,1,2464219937.4296045
california_housing,randomforest,IsolationForest,remove,2,2,2569602524.112202
california_housing,randomforest,IsolationForest,remove,2,3,2539838710.3522983
california_housing,randomforest,IsolationForest,remove,2,4,2577161250.9352684
california_housing,randomforest,IsolationForest,remove,2,5,2601611404.669699
california_housing,randomforest,IsolationForest,remove,2,6,2459811209.0345464
california_housing,randomforest,IsolationForest,remove,2,7,2441049623.6454206
california_housing,randomforest,IsolationForest,remove,2,8,2430648733.9571505
california_housing,randomforest,IsolationForest,remove,2,9,2465859885.0617123
