dataset,model,detector,treatment,run,fold,score
california_housing,randomforest,LOF,remove,0,0,2218166869.1669006
california_housing,randomforest,LOF,remove,0,1,2571674373.3364167
california_housing,randomforest,LOF,remove,0,2,2677955089.2760754
california_housing,randomforest,LOF,remove,0,3,2434101642.713312
california_housing,randomforest,LOF,remove,0,4,2455383791.6952524
california_housing,randomforest,LOF,remove,0,5,2495153294.171625
california_housing,randomforest,LOF,remove,0,6,2429699172.6857533
california_housing,randomforest,LOF,remove,0,7,2552099353.139475
california_housing,randomforest,LOF,remove,0,8,2687542509.8931494
california_housing,randomforest,LOF,remove,0,9,2652039235.750273
california_housing,randomforest,LOF,remove,1,0,2608830060.645433
california_housing,randomforest,LOF,remove,1,1,2428224613.634171
california_housing,randomforest,LOF,remove,1,2,2700612208.085017
california_housing,randomforest,LOF,remove,1,3,2368482439.7310367
california_housing,randomforest,LOF,remove,1,4,2589286727.8974786
california_housing,randomforest,LOF,remove,1,5,2488460793.4591274
california_housing,randomforest,LOF,remove,1,6,2491143696.475892
california_housing,randomforest,LOF,remove,1,7,2577138343.0535393
california_housing,randomforest,LOF,remove,1,8,2658878675.3427906
california_housing,randomforest,LOF,remove,1,9,2521693724.91396
california_housing,randomforest,LOF,remove,2,0,2848839337.7294674
california_housing,randomforest,LOF,remove,2,1,2465428342.122776
california_housing,randomforest,LOF,remove,2,2,2577572768.2792926
california_housing,randomforest,LOF,remove,2,3,2548462644.162982
california_housing,randomforest,LOF,remove,2,4,2540385530.936978
california_housing,randomforest,LOF,remove,2,5,2597944238.1652193
california_housing,randomforest,LOF,remove,2,6,2470136204.8498096
california_housing,randomforest,LOF,remove,2,7,2488638114.5075126
california_housing,randomforest,LOF,remove,2,8,2353157584.513748
california_housing,randomforest,LOF,remove,2,9,2414983169.549621
