dataset,model,detector,treatment,run,fold,score
california_housing,randomforest,None,remove,0,0,2263774056.4750614
california_housing,randomforest,None,remove,0,1,2426625977.4690304
california_housing,randomforest,None,remove,0,2,2600045599.030131
california_housing,randomforest,None,remove,0,3,2436500592.4132633
california_housing,randomforest,None,remove,0,4,2382906907.1115456
california_housing,randomforest,None,remove,0,5,2460872587.983282
california_housing,randomforest,None,remove,0,6,2420657293.892828
california_housing,randomforest,None,remove,0,7,2498280546.040442
california_housing,randomforest,None,remove,0,8,2651507491.527019
california_housing,randomforest,None,remove,0,9,2652397287.6395617
california_housing,randomforest,None,remove,1,0,2540525193.8893356
california_housing,randomforest,None,remove,1,1,2444709710.0060334
california_housing,randomforest,None,remove,1,2,2625715407.5294285
california_housing,randomforest,None,remove,1,3,2403732513.305961
california_housing,randomforest,None,remove,1,4,2499912210.711089
california_housing,randomforest,None,remove,1,5,2462811787.053554
california_housing,randomforest,None,remove,1,6,2333822539.64985
california_housing,randomforest,None,remove,1,7,2545400836.7524033
california_housing,randomforest,None,remove,1,8,2625809835.455259
california_housing,randomforest,None,remove,1,9,2581427901.683728
california_housing,randomforest,None,remove,2,0,2859847723.9624476
california_housing,randomforest,None,remove,2,1,2427521198.6225605
california_housing,randomforest,None,remove,2,2,2580137166.7452955
california_housing,randomforest,None,remove,2,3,2535021751.3100286
california_housing,randomforest,None,remove,2,4,2482930090.879261
california_housing,randomforest,None,remove,2,5,2572106957.1634097
california_housing,randomforest,None,remove,2,6,2500026759.918611
california_housing,randomforest,None,remove,2,7,2476664943.1343803
california_housing,randomforest,None,remove,2,8,2330687440.3520226
california_housing,randomforest,None,remove,2,9,2410153994.54928
