dataset,model,detector,treatment,run,fold,score
california_housing,randomforest,Percentile,clip,0,0,2470777210.488846
california_housing,randomforest,Percentile,clip,0,1,2613162354.651293
california_housing,randomforest,Percentile,clip,0,2,2788174513.831905
california_housing,randomforest,Percentile,clip,0,3,2526745523.4359145
california_housing,randomforest,Percentile,clip,0,4,2430637272.858
california_housing,randomforest,Percentile,clip,0,5,2604886925.5620084
california_housing,randomforest,Percentile,clip,0,6,2581293641.0194645
california_housing,randomforest,Percentile,clip,0,7,2471634669.776013
california_housing,randomforest,Percentile,clip,0,8,2651658170.611647
california_housing,randomforest,Percentile,clip,0,9,2708499109.1435356
california_housing,randomforest,Percentile,clip,1,0,2616686746.585554
california_housing,randomforest,Percentile,clip,1,1,2556346260.359715
california_housing,randomforest,Percentile,clip,1,2,2747102124.3908434
california_housing,randomforest,Percentile,clip,1,3,2428739781.996463
california_housing,randomforest,Percentile,clip,1,4,2550801914.754169
california_housing,randomforest,Percentile,clip,1,5,2598371758.127345
california_housing,randomforest,Percentile,clip,1,6,2428373397.679181
california_housing,randomforest,Percentile,clip,1,7,2642180662.276889
california_housing,randomforest,Percentile,clip,1,8,2636457481.5885367
california_housing,randomforest,Percentile,clip,1,9,2567584000.2322693
california_housing,randomforest,Percentile,clip,2,0,2873666135.8780184
california_housing,randomforest,Percentile,clip,2,1,2620892624.015523
california_housing,randomforest,Percentile,clip,2,2,2622365851.0818205
california_housing,randomforest,Percentile,clip,2,3,2645467203.6044946
california_housing,randomforest,Percentile,clip,2,4,2503847813.961756
california_housing,randomforest,Percentile,clip,2,5,2643580807.070337
california_housing,randomforest,Percentile,clip,2,6,2717770524.206578
california_housing,randomforest,Percentile,clip,2,7,2600301334.7643194
california_housing,randomforest,Percentile,clip,2,8,2398932708.5655622
california_housing,randomforest,Percentile,clip,2,9,2469384474.9820023
