dataset,model,detector,treatment,run,fold,score
california_housing,randomforest,Percentile,remove,0,0,3864975998.903936
california_housing,randomforest,Percentile,remove,0,1,3918092541.6085324
california_housing,randomforest,Percentile,remove,0,2,3834567232.937574
california_housing,randomforest,Percentile,remove,0,3,4020312374.6926794
california_housing,randomforest,Percentile,remove,0,4,3733066685.5368905
california_housing,randomforest,Percentile,remove,0,5,3516122413.451298
california_housing,randomforest,Percentile,remove,0,6,3659863866.8277893
california_housing,randomforest,Percentile,remove,0,7,3925378854.923664
california_housing,randomforest,Percentile,remove,0,8,3703048446.9922185
california_housing,randomforest,Percentile,remove,0,9,4028810241.0240293
california_housing,randomforest,Percentile,remove,1,0,4050863376.0251865
california_housing,randomforest,Percentile,remove,1,1,3391587845.813341
california_housing,randomforest,Percentile,remove,1,2,3976401026.3768716
california_housing,randomforest,Percentile,remove,1,3,3921079134.729152
california_housing,randomforest,Percentile,remove,1,4,3540132979.55776
california_housing,randomforest,Percentile,remove,1,5,3683793255.1289053
california_housing,randomforest,Percentile,remove,1,6,3603317588.857868
california_housing,randomforest,Percentile,remove,1,7,3781093958.622167
california_housing,randomforest,Percentile,remove,1,8,3847522259.675581
california_housing,randomforest,Percentile,remove,1,9,4270543511.105976
california_housing,randomforest,Percentile,remove,2,0,3765206212.067681
california_housing,randomforest,Percentile,remove,2,1,3550985427.4504128
california_housing,randomforest,Percentile,remove,2,2,3723376959.537847
california_housing,randomforest,Percentile,remove,2,3,3509101742.040829
california_housing,randomforest,Percentile,remove,2,4,3946834278.5872297
california_housing,randomforest,Percentile,remove,2,5,4161254890.295751
california_housing,randomforest,Percentile,remove,2,6,4352048751.909828
california_housing,randomforest,Percentile,remove,2,7,3696717233.677321
california_housing,randomforest,Percentile,remove,2,8,3752251451.589775
california_housing,randomforest,Percentile,remove,2,9,3925856234.321293
