dataset,model,detector,treatment,run,fold,score
california_housing,randomforest,ZScore,remove,0,0,2357516574.004063
california_housing,randomforest,ZScore,remove,0,1,2462774489.977851
california_housing,randomforest,ZScore,remove,0,2,2614420696.844449
california_housing,randomforest,ZScore,remove,0,3,2329539328.147148
california_housing,randomforest,ZScore,remove,0,4,2426178098.6682725
california_housing,randomforest,ZScore,remove,0,5,2533671266.7800837
california_housing,randomforest,ZScore,remove,0,6,2501451546.064457
california_housing,randomforest,ZScore,remove,0,7,2595271855.2480726
california_housing,randomforest,ZScore,remove,0,8,2649531887.650158
california_housing,randomforest,ZScore,remove,0,9,2704520762.0852833
california_housing,randomforest,ZScore,remove,1,0,2564618204.9943633
california_housing,randomforest,ZScore,remove,1,1,2469657996.090373
california_housing,randomforest,ZScore,remove,1,2,2575564376.3041167
california_housing,randomforest,ZScore,remove,1,3,2476470623.757397
california_housing,randomforest,ZScore,remove,1,4,2583985079.117769
california_housing,randomforest,ZScore,remove,1,5,2412370995.3773146
california_housing,randomforest,ZScore,remove,1,6,2350054985.6532345
california_housing,randomforest,ZScore,remove,1,7,2565684231.2030387
california_housing,randomforest,ZScore,remove,1,8,2643258722.631762
california_housing,randomforest,ZScore,remove,1,9,2600937863.063831
california_housing,randomforest,ZScore,remove,2,0,2879883901.051953
california_housing,randomforest,ZScore,remove,2,1,2364143211.0952916
california_housing,randomforest,ZScore,remove,2,2,2589825843.8881793
california_housing,randomforest,ZScore,remove,2,3,2509952497.6622076
california_housing,randomforest,ZScore,remove,2,4,2618989498.434455
california_housing,randomforest,ZScore,remove,2,5,2559849702.4489594
california_housing,randomforest,ZScore,remove,2,6,2573453608.5210023
california_housing,randomforest,ZScore,remove,2,7,2483543457.753537
california_housing,randomforest,ZScore,remove,2,8,2331950013.465228
california_housing,randomforest,ZScore,remove,2,9,2469810898.788123
