dataset,model,detector,treatment,run,fold,score
california_housing,xgboost,LOF,remove,0,0,2353874711.6161
california_housing,xgboost,LOF,remove,0,1,2297550597.6137314
california_housing,xgboost,LOF,remove,0,2,2522316198.0823646
california_housing,xgboost,LOF,remove,0,3,2461981516.571441
california_housing,xgboost,LOF,remove,0,4,2139876815.8438098
california_housing,xgboost,LOF,remove,0,5,2340204184.533077
california_housing,xgboost,LOF,remove,0,6,2270988478.5679708
california_housing,xgboost,LOF,remove,0,7,2388638119.261847
california_housing,xgboost,LOF,remove,0,8,2576320174.733899
california_housing,xgboost,LOF,remove,0,9,2517293033.2064233
california_housing,xgboost,LOF,remove,1,0,2287273259.914776
california_housing,xgboost,LOF,remove,1,1,2223673886.60389
california_housing,xgboost,LOF,remove,1,2,2384085706.819508
california_housing,xgboost,LOF,remove,1,3,2492033631.9430943
california_housing,xgboost,LOF,remove,1,4,2615466345.657775
california_housing,xgboost,LOF,remove,1,5,2378555206.4261904
california_housing,xgboost,LOF,remove,1,6,2239693700.674585
california_housing,xgboost,LOF,remove,1,7,2416707668.7319164
california_housing,xgboost,LOF,remove,1,8,2526551102.3561335
california_housing,xgboost,LOF,remove,1,9,2452374005.3890934
california_housing,xgboost,LOF,remove,2,0,2753005064.24361
california_housing,xgboost,LOF,remove,2,1,2246028149.9602723
california_housing,xgboost,LOF,remove,2,2,2262384965.3628182
california_housing,xgboost,LOF,remove,2,3,2398584139.401993
california_housing,xgboost,LOF,remove,2,4,2295370457.7679043
california_housing,xgboost,LOF,remove,2,5,2464535637.8435373
california_housing,xgboost,LOF,remove,2,6,2675907834.9286747
california_housing,xgboost,LOF,remove,2,7,2405476354.3080425
california_housing,xgboost,LOF,remove,2,8,2090763719.9446092
california_housing,xgboost,LOF,remove,2,9,2225476328.488938
