dataset,model,detector,treatment,run,fold,score
california_housing,xgboost,None,remove,0,0,2172654819.9203744
california_housing,xgboost,None,remove,0,1,2266420610.8217554
california_housing,xgboost,None,remove,0,2,2328918480.301211
california_housing,xgboost,None,remove,0,3,2377890226.597509
california_housing,xgboost,None,remove,0,4,2102874430.7890713
california_housing,xgboost,None,remove,0,5,2315830260.0786166
california_housing,xgboost,None,remove,0,6,2297315501.575301
california_housing,xgboost,None,remove,0,7,2461214370.666447
california_housing,xgboost,None,remove,0,8,2413486144.2470303
california_housing,xgboost,None,remove,0,9,2488461162.985742
california_housing,xgboost,None,remove,1,0,2355496185.9895406
california_housing,xgboost,None,remove,1,1,2113591006.6230497
california_housing,xgboost,None,remove,1,2,2231772701.740087
california_housing,xgboost,None,remove,1,3,2294864454.0761247
california_housing,xgboost,None,remove,1,4,2323261502.118132
california_housing,xgboost,None,remove,1,5,2368675416.7365255
california_housing,xgboost,None,remove,1,6,2335102152.0512424
california_housing,xgboost,None,remove,1,7,2287658200.907186
california_housing,xgboost,None,remove,1,8,2364170642.658507
california_housing,xgboost,None,remove,1,9,2442473672.3359537
california_housing,xgboost,None,remove,2,0,2469251237.4181223
california_housing,xgboost,None,remove,2,1,2355579566.621776
california_housing,xgboost,None,remove,2,2,2197566951.9724007
california_housing,xgboost,None,remove,2,3,2343281749.902732
california_housing,xgboost,None,remove,2,4,2288714270.841309
california_housing,xgboost,None,remove,2,5,2328743368.95941
california_housing,xgboost,None,remove,2,6,2432391727.413902
california_housing,xgboost,None,remove,2,7,2429971531.65501
california_housing,xgboost,None,remove,2,8,2108614615.5488794
california_housing,xgboost,None,remove,2,9,2290949485.9584665
