dataset,model,detector,treatment,run,fold,score
california_housing,xgboost,Percentile,clip,0,0,2385722469.7213078
california_housing,xgboost,Percentile,clip,0,1,2498292174.484531
california_housing,xgboost,Percentile,clip,0,2,2414031055.0506167
california_housing,xgboost,Percentile,clip,0,3,2442210986.012601
california_housing,xgboost,Percentile,clip,0,4,2327637804.5994368
california_housing,xgboost,Percentile,clip,0,5,2487561205.3587513
california_housing,xgboost,Percentile,clip,0,6,2408008422.837642
california_housing,xgboost,Percentile,clip,0,7,2534166975.322364
california_housing,xgboost,Percentile,clip,0,8,2457344016.1277456
california_housing,xgboost,Percentile,clip,0,9,2358629701.7237334
california_housing,xgboost,Percentile,clip,1,0,2287206295.0906315
california_housing,xgboost,Percentile,clip,1,1,2151945280.90382
california_housing,xgboost,Percentile,clip,1,2,2485207918.5327563
california_housing,xgboost,Percentile,clip,1,3,2579182761.4167633
california_housing,xgboost,Percentile,clip,1,4,2468202550.021521
california_housing,xgboost,Percentile,clip,1,5,2651031820.217432
california_housing,xgboost,Percentile,clip,1,6,2416996091.857742
california_housing,xgboost,Percentile,clip,1,7,2463447272.3841534
california_housing,xgboost,Percentile,clip,1,8,2352176879.3654013
california_housing,xgboost,Percentile,clip,1,9,2409355733.6992626
california_housing,xgboost,Percentile,clip,2,0,2483729172.5504255
california_housing,xgboost,Percentile,clip,2,1,2276259708.8232656
california_housing,xgboost,Percentile,clip,2,2,2296804785.3500605
california_housing,xgboost,Percentile,clip,2,3,2483741401.089999
california_housing,xgboost,Percentile,clip,2,4,2402806707.9552
california_housing,xgboost,Percentile,clip,2,5,2361739640.740484
california_housing,xgboost,Percentile,clip,2,6,2790860984.2504735
california_housing,xgboost,Percentile,clip,2,7,2330738970.4713287
california_housing,xgboost,Percentile,clip,2,8,2208926357.6454496
california_housing,xgboost,Percentile,clip,2,9,2471441940.1863246
