dataset,model,detector,treatment,run,fold,score
california_housing,xgboost,Percentile,remove,0,0,3392042937.553101
california_housing,xgboost,Percentile,remove,0,1,3260983544.1225057
california_housing,xgboost,Percentile,remove,0,2,3407871772.1781254
california_housing,xgboost,Percentile,remove,0,3,3150114678.663741
california_housing,xgboost,Percentile,remove,0,4,3228465008.3881793
california_housing,xgboost,Percentile,remove,0,5,3278218524.5798225
california_housing,xgboost,Percentile,remove,0,6,3042110431.115641
california_housing,xgboost,Percentile,remove,0,7,3131084997.9576426
california_housing,xgboost,Percentile,remove,0,8,3550442655.497451
california_housing,xgboost,Percentile,remove,0,9,3332722032.2154846
california_housing,xgboost,Percentile,remove,1,0,3210769283.2683864
california_housing,xgboost,Percentile,remove,1,1,2785958858.3868585
california_housing,xgboost,Percentile,remove,1,2,3216747640.1747084
california_housing,xgboost,Percentile,remove,1,3,3270199805.991758
california_housing,xgboost,Percentile,remove,1,4,3251417870.2892394
california_housing,xgboost,Percentile,remove,1,5,3303076465.1536775
california_housing,xgboost,Percentile,remove,1,6,3185212397.3945813
california_housing,xgboost,Percentile,remove,1,7,3450441668.0430574
california_housing,xgboost,Percentile,remove,1,8,3320573690.775205
california_housing,xgboost,Percentile,remove,1,9,3659059861.120356
california_housing,xgboost,Percentile,remove,2,0,3506318882.5150084
california_housing,xgboost,Percentile,remove,2,1,3171954552.331065
california_housing,xgboost,Percentile,remove,2,2,2916067196.496771
california_housing,xgboost,Percentile,remove,2,3,3115125612.948494
california_housing,xgboost,Percentile,remove,2,4,3274315814.6445937
california_housing,xgboost,Percentile,remove,2,5,3356636062.6051183
california_housing,xgboost,Percentile,remove,2,6,3721674006.4096
california_housing,xgboost,Percentile,remove,2,7,3195312237.42086
california_housing,xgboost,Percentile,remove,2,8,3119808876.889199
california_housing,xgboost,Percentile,remove,2,9,3252678232.2004304
