dataset,model,detector,treatment,run,fold,score
california_housing,xgboost,ZScore,remove,0,0,2436025622.2891498
california_housing,xgboost,ZScore,remove,0,1,2277040739.8142786
california_housing,xgboost,ZScore,remove,0,2,2525243888.484798
california_housing,xgboost,ZScore,remove,0,3,2404977905.6451893
california_housing,xgboost,ZScore,remove,0,4,2108242016.2802706
california_housing,xgboost,ZScore,remove,0,5,2572301382.285077
california_housing,xgboost,ZScore,remove,0,6,2242390329.9619694
california_housing,xgboost,ZScore,remove,0,7,2442376572.5203967
california_housing,xgboost,ZScore,remove,0,8,2307967626.365929
california_housing,xgboost,ZScore,remove,0,9,2451758190.961879
california_housing,xgboost,ZScore,remove,1,0,2259247790.8654175
california_housing,xgboost,ZScore,remove,1,1,2131648847.6068363
california_housing,xgboost,ZScore,remove,1,2,2221702898.6829634
california_housing,xgboost,ZScore,remove,1,3,2356316096.716094
california_housing,xgboost,ZScore,remove,1,4,2509801781.976796
california_housing,xgboost,ZScore,remove,1,5,2244878788.614587
california_housing,xgboost,ZScore,remove,1,6,2404043008.561102
california_housing,xgboost,ZScore,remove,1,7,2341305895.7700925
california_housing,xgboost,ZScore,remove,1,8,2530681522.1750526
california_housing,xgboost,ZScore,remove,1,9,2453134710.9271784
california_housing,xgboost,ZScore,remove,2,0,2559627806.0407724
california_housing,xgboost,ZScore,remove,2,1,2348886105.228061
california_housing,xgboost,ZScore,remove,2,2,2303110497.115496
california_housing,xgboost,ZScore,remove,2,3,2454999578.9135222
california_housing,xgboost,ZScore,remove,2,4,2454074779.120159
california_housing,xgboost,ZScore,remove,2,5,2306327488.7460346
california_housing,xgboost,ZScore,remove,2,6,2655256592.7989607
california_housing,xgboost,ZScore,remove,2,7,2300921630.6280503
california_housing,xgboost,ZScore,remove,2,8,2042679627.9423103
california_housing,xgboost,ZScore,remove,2,9,2349220091.5189595
