dataset,model,detector,treatment,run,fold,score
cmc,mlp,Percentile,clip,0,0,0.45263157894736844
cmc,mlp,Percentile,clip,0,1,0.5157894736842106
cmc,mlp,Percentile,clip,0,2,0.4787234042553192
cmc,mlp,Percentile,clip,0,3,0.5319148936170213
cmc,mlp,Percentile,clip,0,4,0.5425531914893617
cmc,mlp,Percentile,clip,0,5,0.6595744680851063
cmc,mlp,Percentile,clip,0,6,0.5319148936170213
cmc,mlp,Percentile,clip,0,7,0.5106382978723404
cmc,mlp,Percentile,clip,0,8,0.5319148936170213
cmc,mlp,Percentile,clip,0,9,0.6170212765957447
cmc,mlp,Percentile,clip,1,0,0.5894736842105263
cmc,mlp,Percentile,clip,1,1,0.5263157894736842
cmc,mlp,Percentile,clip,1,2,0.6063829787234043
cmc,mlp,Percentile,clip,1,3,0.5851063829787234
cmc,mlp,Percentile,clip,1,4,0.48936170212765956
cmc,mlp,Percentile,clip,1,5,0.5106382978723404
cmc,mlp,Percentile,clip,1,6,0.5531914893617021
cmc,mlp,Percentile,clip,1,7,0.5851063829787234
cmc,mlp,Percentile,clip,1,8,0.4787234042553192
cmc,mlp,Percentile,clip,1,9,0.40425531914893614
cmc,mlp,Percentile,clip,2,0,0.4842105263157895
cmc,mlp,Percentile,clip,2,1,0.5789473684210527
cmc,mlp,Percentile,clip,2,2,0.5
cmc,mlp,Percentile,clip,2,3,0.5319148936170213
cmc,mlp,Percentile,clip,2,4,0.4787234042553192
cmc,mlp,Percentile,clip,2,5,0.5319148936170213
cmc,mlp,Percentile,clip,2,6,0.5851063829787234
cmc,mlp,Percentile,clip,2,7,0.5957446808510638
cmc,mlp,Percentile,clip,2,8,0.5
cmc,mlp,Percentile,clip,2,9,0.574468085106383
