dataset,model,detector,treatment,run,fold,score
cmc,mlp,Percentile,remove,0,0,0.47368421052631576
cmc,mlp,Percentile,remove,0,1,0.5052631578947369
cmc,mlp,Percentile,remove,0,2,0.46808510638297873
cmc,mlp,Percentile,remove,0,3,0.5425531914893617
cmc,mlp,Percentile,remove,0,4,0.48936170212765956
cmc,mlp,Percentile,remove,0,5,0.6170212765957447
cmc,mlp,Percentile,remove,0,6,0.46808510638297873
cmc,mlp,Percentile,remove,0,7,0.5531914893617021
cmc,mlp,Percentile,remove,0,8,0.5425531914893617
cmc,mlp,Percentile,remove,0,9,0.6063829787234043
cmc,mlp,Percentile,remove,1,0,0.5263157894736842
cmc,mlp,Percentile,remove,1,1,0.4631578947368421
cmc,mlp,Percentile,remove,1,2,0.6170212765957447
cmc,mlp,Percentile,remove,1,3,0.574468085106383
cmc,mlp,Percentile,remove,1,4,0.5
cmc,mlp,Percentile,remove,1,5,0.5531914893617021
cmc,mlp,Percentile,remove,1,6,0.5425531914893617
cmc,mlp,Percentile,remove,1,7,0.6063829787234043
cmc,mlp,Percentile,remove,1,8,0.5212765957446809
cmc,mlp,Percentile,remove,1,9,0.40425531914893614
cmc,mlp,Percentile,remove,2,0,0.4842105263157895
cmc,mlp,Percentile,remove,2,1,0.5578947368421052
cmc,mlp,Percentile,remove,2,2,0.5425531914893617
cmc,mlp,Percentile,remove,2,3,0.5212765957446809
cmc,mlp,Percentile,remove,2,4,0.4574468085106383
cmc,mlp,Percentile,remove,2,5,0.5106382978723404
cmc,mlp,Percentile,remove,2,6,0.5425531914893617
cmc,mlp,Percentile,remove,2,7,0.574468085106383
cmc,mlp,Percentile,remove,2,8,0.48936170212765956
cmc,mlp,Percentile,remove,2,9,0.5638297872340425
