dataset,model,detector,treatment,run,fold,score
cmc,mlp,ZScore,clip,0,0,0.47368421052631576
cmc,mlp,ZScore,clip,0,1,0.5157894736842106
cmc,mlp,ZScore,clip,0,2,0.5
cmc,mlp,ZScore,clip,0,3,0.5106382978723404
cmc,mlp,ZScore,clip,0,4,0.5531914893617021
cmc,mlp,ZScore,clip,0,5,0.6382978723404256
cmc,mlp,ZScore,clip,0,6,0.5
cmc,mlp,ZScore,clip,0,7,0.5319148936170213
cmc,mlp,ZScore,clip,0,8,0.5212765957446809
cmc,mlp,ZScore,clip,0,9,0.6276595744680851
cmc,mlp,ZScore,clip,1,0,0.5473684210526316
cmc,mlp,ZScore,clip,1,1,0.5263157894736842
cmc,mlp,ZScore,clip,1,2,0.6170212765957447
cmc,mlp,ZScore,clip,1,3,0.574468085106383
cmc,mlp,ZScore,clip,1,4,0.5
cmc,mlp,ZScore,clip,1,5,0.5319148936170213
cmc,mlp,ZScore,clip,1,6,0.5531914893617021
cmc,mlp,ZScore,clip,1,7,0.6276595744680851
cmc,mlp,ZScore,clip,1,8,0.48936170212765956
cmc,mlp,ZScore,clip,1,9,0.425531914893617
cmc,mlp,ZScore,clip,2,0,0.4631578947368421
cmc,mlp,ZScore,clip,2,1,0.5894736842105263
cmc,mlp,ZScore,clip,2,2,0.5
cmc,mlp,ZScore,clip,2,3,0.5
cmc,mlp,ZScore,clip,2,4,0.48936170212765956
cmc,mlp,ZScore,clip,2,5,0.5212765957446809
cmc,mlp,ZScore,clip,2,6,0.574468085106383
cmc,mlp,ZScore,clip,2,7,0.5851063829787234
cmc,mlp,ZScore,clip,2,8,0.5319148936170213
cmc,mlp,ZScore,clip,2,9,0.5425531914893617
