dataset,model,detector,treatment,run,fold,score
cmc,mlp_deep,ZScore,remove,0,0,0.5157894736842106
cmc,mlp_deep,ZScore,remove,0,1,0.4631578947368421
cmc,mlp_deep,ZScore,remove,0,2,0.5
cmc,mlp_deep,ZScore,remove,0,3,0.5
cmc,mlp_deep,ZScore,remove,0,4,0.5851063829787234
cmc,mlp_deep,ZScore,remove,0,5,0.6702127659574468
cmc,mlp_deep,ZScore,remove,0,6,0.5
cmc,mlp_deep,ZScore,remove,0,7,0.5531914893617021
cmc,mlp_deep,ZScore,remove,0,8,0.5
cmc,mlp_deep,ZScore,remove,0,9,0.6276595744680851
cmc,mlp_deep,ZScore,remove,1,0,0.5578947368421052
cmc,mlp_deep,ZScore,remove,1,1,0.6105263157894737
cmc,mlp_deep,ZScore,remove,1,2,0.6595744680851063
cmc,mlp_deep,ZScore,remove,1,3,0.5319148936170213
cmc,mlp_deep,ZScore,remove,1,4,0.44680851063829785
cmc,mlp_deep,ZScore,remove,1,5,0.5
cmc,mlp_deep,ZScore,remove,1,6,0.5319148936170213
cmc,mlp_deep,ZScore,remove,1,7,0.6063829787234043
cmc,mlp_deep,ZScore,remove,1,8,0.5319148936170213
cmc,mlp_deep,ZScore,remove,1,9,0.43617021276595747
cmc,mlp_deep,ZScore,remove,2,0,0.5368421052631579
cmc,mlp_deep,ZScore,remove,2,1,0.5157894736842106
cmc,mlp_deep,ZScore,remove,2,2,0.4148936170212766
cmc,mlp_deep,ZScore,remove,2,3,0.5319148936170213
cmc,mlp_deep,ZScore,remove,2,4,0.5319148936170213
cmc,mlp_deep,ZScore,remove,2,5,0.5638297872340425
cmc,mlp_deep,ZScore,remove,2,6,0.39361702127659576
cmc,mlp_deep,ZScore,remove,2,7,0.574468085106383
cmc,mlp_deep,ZScore,remove,2,8,0.5638297872340425
cmc,mlp_deep,ZScore,remove,2,9,0.5638297872340425
