dataset,model,detector,treatment,run,fold,score
cmc,xgboost,None,remove,0,0,0.5052631578947369
cmc,xgboost,None,remove,0,1,0.5157894736842106
cmc,xgboost,None,remove,0,2,0.43617021276595747
cmc,xgboost,None,remove,0,3,0.46808510638297873
cmc,xgboost,None,remove,0,4,0.5212765957446809
cmc,xgboost,None,remove,0,5,0.574468085106383
cmc,xgboost,None,remove,0,6,0.43617021276595747
cmc,xgboost,None,remove,0,7,0.5319148936170213
cmc,xgboost,None,remove,0,8,0.4787234042553192
cmc,xgboost,None,remove,0,9,0.5638297872340425
cmc,xgboost,None,remove,1,0,0.4421052631578947
cmc,xgboost,None,remove,1,1,0.5473684210526316
cmc,xgboost,None,remove,1,2,0.5319148936170213
cmc,xgboost,None,remove,1,3,0.5531914893617021
cmc,xgboost,None,remove,1,4,0.5
cmc,xgboost,None,remove,1,5,0.4574468085106383
cmc,xgboost,None,remove,1,6,0.4787234042553192
cmc,xgboost,None,remove,1,7,0.5319148936170213
cmc,xgboost,None,remove,1,8,0.5319148936170213
cmc,xgboost,None,remove,1,9,0.44680851063829785
cmc,xgboost,None,remove,2,0,0.5157894736842106
cmc,xgboost,None,remove,2,1,0.5473684210526316
cmc,xgboost,None,remove,2,2,0.5531914893617021
cmc,xgboost,None,remove,2,3,0.3829787234042553
cmc,xgboost,None,remove,2,4,0.44680851063829785
cmc,xgboost,None,remove,2,5,0.46808510638297873
cmc,xgboost,None,remove,2,6,0.5531914893617021
cmc,xgboost,None,remove,2,7,0.46808510638297873
cmc,xgboost,None,remove,2,8,0.46808510638297873
cmc,xgboost,None,remove,2,9,0.5
