dataset,model,detector,treatment,run,fold,score
cmc,xgboost,Percentile,clip,0,0,0.5052631578947369
cmc,xgboost,Percentile,clip,0,1,0.49473684210526314
cmc,xgboost,Percentile,clip,0,2,0.4574468085106383
cmc,xgboost,Percentile,clip,0,3,0.5
cmc,xgboost,Percentile,clip,0,4,0.48936170212765956
cmc,xgboost,Percentile,clip,0,5,0.5638297872340425
cmc,xgboost,Percentile,clip,0,6,0.5319148936170213
cmc,xgboost,Percentile,clip,0,7,0.5106382978723404
cmc,xgboost,Percentile,clip,0,8,0.5106382978723404
cmc,xgboost,Percentile,clip,0,9,0.5851063829787234
cmc,xgboost,Percentile,clip,1,0,0.4631578947368421
cmc,xgboost,Percentile,clip,1,1,0.49473684210526314
cmc,xgboost,Percentile,clip,1,2,0.574468085106383
cmc,xgboost,Percentile,clip,1,3,0.5319148936170213
cmc,xgboost,Percentile,clip,1,4,0.4787234042553192
cmc,xgboost,Percentile,clip,1,5,0.5
cmc,xgboost,Percentile,clip,1,6,0.44680851063829785
cmc,xgboost,Percentile,clip,1,7,0.5425531914893617
cmc,xgboost,Percentile,clip,1,8,0.5425531914893617
cmc,xgboost,Percentile,clip,1,9,0.43617021276595747
cmc,xgboost,Percentile,clip,2,0,0.5052631578947369
cmc,xgboost,Percentile,clip,2,1,0.5684210526315789
cmc,xgboost,Percentile,clip,2,2,0.5425531914893617
cmc,xgboost,Percentile,clip,2,3,0.40425531914893614
cmc,xgboost,Percentile,clip,2,4,0.44680851063829785
cmc,xgboost,Percentile,clip,2,5,0.46808510638297873
cmc,xgboost,Percentile,clip,2,6,0.5319148936170213
cmc,xgboost,Percentile,clip,2,7,0.43617021276595747
cmc,xgboost,Percentile,clip,2,8,0.46808510638297873
cmc,xgboost,Percentile,clip,2,9,0.5319148936170213
