dataset,model,detector,treatment,run,fold,score
connect-4,mlp,Autoencoder,remove,0,0,0.786308973172988
connect-4,mlp,Autoencoder,remove,0,1,0.7985661424606846
connect-4,mlp,Autoencoder,remove,0,2,0.8082793709528214
connect-4,mlp,Autoencoder,remove,0,3,0.8075855689176689
connect-4,mlp,Autoencoder,remove,0,4,0.7867715078630897
connect-4,mlp,Autoencoder,remove,0,5,0.8066604995374653
connect-4,mlp,Autoencoder,remove,0,6,0.8006014341892205
connect-4,mlp,Autoencoder,remove,0,7,0.7934304880869766
connect-4,mlp,Autoencoder,remove,0,8,0.7934304880869766
connect-4,mlp,Autoencoder,remove,0,9,0.8003701133472125
connect-4,mlp,Autoencoder,remove,1,0,0.8024976873265495
connect-4,mlp,Autoencoder,remove,1,1,0.7974098057354302
connect-4,mlp,Autoencoder,remove,1,2,0.7944033302497687
connect-4,mlp,Autoencoder,remove,1,3,0.7962534690101758
connect-4,mlp,Autoencoder,remove,1,4,0.8024976873265495
connect-4,mlp,Autoencoder,remove,1,5,0.8066604995374653
connect-4,mlp,Autoencoder,remove,1,6,0.7925052047189451
connect-4,mlp,Autoencoder,remove,1,7,0.7975942632431182
connect-4,mlp,Autoencoder,remove,1,8,0.7918112421929215
connect-4,mlp,Autoencoder,remove,1,9,0.794587092297016
connect-4,mlp,Autoencoder,remove,2,0,0.797641073080481
connect-4,mlp,Autoencoder,remove,2,1,0.7927844588344126
connect-4,mlp,Autoencoder,remove,2,2,0.7953283996299723
connect-4,mlp,Autoencoder,remove,2,3,0.7978723404255319
connect-4,mlp,Autoencoder,remove,2,4,0.8043478260869565
connect-4,mlp,Autoencoder,remove,2,5,0.8011100832562442
connect-4,mlp,Autoencoder,remove,2,6,0.7964376590330788
connect-4,mlp,Autoencoder,remove,2,7,0.8029146426092991
connect-4,mlp,Autoencoder,remove,2,8,0.8080037011334721
connect-4,mlp,Autoencoder,remove,2,9,0.7938931297709924
