dataset,model,detector,treatment,run,fold,score
connect-4,mlp,ZScore,clip,0,0,0.7913968547641073
connect-4,mlp,ZScore,clip,0,1,0.8041165587419057
connect-4,mlp,ZScore,clip,0,2,0.8043478260869565
connect-4,mlp,ZScore,clip,0,3,0.8038852913968547
connect-4,mlp,ZScore,clip,0,4,0.8004162812210915
connect-4,mlp,ZScore,clip,0,5,0.8036540240518039
connect-4,mlp,ZScore,clip,0,6,0.8024520009252833
connect-4,mlp,ZScore,clip,0,7,0.7871848253527642
connect-4,mlp,ZScore,clip,0,8,0.7897293546148508
connect-4,mlp,ZScore,clip,0,9,0.8026833217672912
connect-4,mlp,ZScore,clip,1,0,0.8024976873265495
connect-4,mlp,ZScore,clip,1,1,0.7946345975948196
connect-4,mlp,ZScore,clip,1,2,0.8022664199814986
connect-4,mlp,ZScore,clip,1,3,0.7983348751156337
connect-4,mlp,ZScore,clip,1,4,0.8080481036077706
connect-4,mlp,ZScore,clip,1,5,0.8024976873265495
connect-4,mlp,ZScore,clip,1,6,0.7975942632431182
connect-4,mlp,ZScore,clip,1,7,0.8036086051353227
connect-4,mlp,ZScore,clip,1,8,0.7971316215591024
connect-4,mlp,ZScore,clip,1,9,0.8006014341892205
connect-4,mlp,ZScore,clip,2,0,0.7950971322849214
connect-4,mlp,ZScore,clip,2,1,0.8008788159111934
connect-4,mlp,ZScore,clip,2,2,0.7927844588344126
connect-4,mlp,ZScore,clip,2,3,0.8085106382978723
connect-4,mlp,ZScore,clip,2,4,0.7974098057354302
connect-4,mlp,ZScore,clip,2,5,0.8073543015726179
connect-4,mlp,ZScore,clip,2,6,0.7918112421929215
connect-4,mlp,ZScore,clip,2,7,0.8043025676613463
connect-4,mlp,ZScore,clip,2,8,0.8091603053435115
connect-4,mlp,ZScore,clip,2,9,0.7971316215591024
