dataset,model,detector,treatment,run,fold,score
connect-4,mlp,ZScore,remove,0,0,0.6692876965772433
connect-4,mlp,ZScore,remove,0,1,0.6806197964847364
connect-4,mlp,ZScore,remove,0,2,0.7016651248843663
connect-4,mlp,ZScore,remove,0,3,0.669750231267345
connect-4,mlp,ZScore,remove,0,4,0.6887141535615171
connect-4,mlp,ZScore,remove,0,5,0.6785383903792784
connect-4,mlp,ZScore,remove,0,6,0.7164006476983577
connect-4,mlp,ZScore,remove,0,7,0.6560259079343049
connect-4,mlp,ZScore,remove,0,8,0.6928059218135554
connect-4,mlp,ZScore,remove,0,9,0.666204024982651
connect-4,mlp,ZScore,remove,1,0,0.6847826086956522
connect-4,mlp,ZScore,remove,1,1,0.6313598519888992
connect-4,mlp,ZScore,remove,1,2,0.6681313598519889
connect-4,mlp,ZScore,remove,1,3,0.6801572617946346
connect-4,mlp,ZScore,remove,1,4,0.6551803885291397
connect-4,mlp,ZScore,remove,1,5,0.7035152636447733
connect-4,mlp,ZScore,remove,1,6,0.684941013185288
connect-4,mlp,ZScore,remove,1,7,0.6877168632893824
connect-4,mlp,ZScore,remove,1,8,0.710617626648161
connect-4,mlp,ZScore,remove,1,9,0.676382142030997
connect-4,mlp,ZScore,remove,2,0,0.6537927844588344
connect-4,mlp,ZScore,remove,2,1,0.6524051803885291
connect-4,mlp,ZScore,remove,2,2,0.67368177613321
connect-4,mlp,ZScore,remove,2,3,0.6706753006475485
connect-4,mlp,ZScore,remove,2,4,0.7102220166512488
connect-4,mlp,ZScore,remove,2,5,0.6820074005550416
connect-4,mlp,ZScore,remove,2,6,0.6789266712930835
connect-4,mlp,ZScore,remove,2,7,0.6962757344436734
connect-4,mlp,ZScore,remove,2,8,0.6594957205644228
connect-4,mlp,ZScore,remove,2,9,0.6467730742539903
