dataset,model,detector,treatment,run,fold,score
connect-4,mlp_deep,Autoencoder,remove,0,0,0.7833024976873265
connect-4,mlp_deep,Autoencoder,remove,0,1,0.8038852913968547
connect-4,mlp_deep,Autoencoder,remove,0,2,0.799722479185939
connect-4,mlp_deep,Autoencoder,remove,0,3,0.7983348751156337
connect-4,mlp_deep,Autoencoder,remove,0,4,0.790009250693802
connect-4,mlp_deep,Autoencoder,remove,0,5,0.7990286771507863
connect-4,mlp_deep,Autoencoder,remove,0,6,0.796206338191071
connect-4,mlp_deep,Autoencoder,remove,0,7,0.7888040712468194
connect-4,mlp_deep,Autoencoder,remove,0,8,0.7948184131390238
connect-4,mlp_deep,Autoencoder,remove,0,9,0.7927365255609531
connect-4,mlp_deep,Autoencoder,remove,1,0,0.7911655874190564
connect-4,mlp_deep,Autoencoder,remove,1,1,0.7821461609620721
connect-4,mlp_deep,Autoencoder,remove,1,2,0.7967160037002775
connect-4,mlp_deep,Autoencoder,remove,1,3,0.7946345975948196
connect-4,mlp_deep,Autoencoder,remove,1,4,0.7927844588344126
connect-4,mlp_deep,Autoencoder,remove,1,5,0.7955596669750231
connect-4,mlp_deep,Autoencoder,remove,1,6,0.7941244506130002
connect-4,mlp_deep,Autoencoder,remove,1,7,0.7913486005089059
connect-4,mlp_deep,Autoencoder,remove,1,8,0.7973629424011104
connect-4,mlp_deep,Autoencoder,remove,1,9,0.7864908628267407
connect-4,mlp_deep,Autoencoder,remove,2,0,0.799722479185939
connect-4,mlp_deep,Autoencoder,remove,2,1,0.7953283996299723
connect-4,mlp_deep,Autoencoder,remove,2,2,0.7835337650323775
connect-4,mlp_deep,Autoencoder,remove,2,3,0.7990286771507863
connect-4,mlp_deep,Autoencoder,remove,2,4,0.7964847363552267
connect-4,mlp_deep,Autoencoder,remove,2,5,0.7779833487511564
connect-4,mlp_deep,Autoencoder,remove,2,6,0.7952810548230396
connect-4,mlp_deep,Autoencoder,remove,2,7,0.8024520009252833
connect-4,mlp_deep,Autoencoder,remove,2,8,0.7948184131390238
connect-4,mlp_deep,Autoencoder,remove,2,9,0.7899606754568587
