dataset,model,detector,treatment,run,fold,score
connect-4,mlp_deep,IsolationForest,remove,0,0,0.7941720629047179
connect-4,mlp_deep,IsolationForest,remove,0,1,0.7992599444958371
connect-4,mlp_deep,IsolationForest,remove,0,2,0.7974098057354302
connect-4,mlp_deep,IsolationForest,remove,0,3,0.8006475485661425
connect-4,mlp_deep,IsolationForest,remove,0,4,0.7793709528214616
connect-4,mlp_deep,IsolationForest,remove,0,5,0.7992599444958371
connect-4,mlp_deep,IsolationForest,remove,0,6,0.7869535045107564
connect-4,mlp_deep,IsolationForest,remove,0,7,0.7834836918806385
connect-4,mlp_deep,IsolationForest,remove,0,8,0.786028221142725
connect-4,mlp_deep,IsolationForest,remove,0,9,0.7915799213509137
connect-4,mlp_deep,IsolationForest,remove,1,0,0.7897779833487512
connect-4,mlp_deep,IsolationForest,remove,1,1,0.778677150786309
connect-4,mlp_deep,IsolationForest,remove,1,2,0.7902405180388529
connect-4,mlp_deep,IsolationForest,remove,1,3,0.793709528214616
connect-4,mlp_deep,IsolationForest,remove,1,4,0.7964847363552267
connect-4,mlp_deep,IsolationForest,remove,1,5,0.7978723404255319
connect-4,mlp_deep,IsolationForest,remove,1,6,0.7735368956743003
connect-4,mlp_deep,IsolationForest,remove,1,7,0.7925052047189451
connect-4,mlp_deep,IsolationForest,remove,1,8,0.7878787878787878
connect-4,mlp_deep,IsolationForest,remove,1,9,0.7841776544066621
connect-4,mlp_deep,IsolationForest,remove,2,0,0.7916281221091582
connect-4,mlp_deep,IsolationForest,remove,2,1,0.8020351526364478
connect-4,mlp_deep,IsolationForest,remove,2,2,0.7911655874190564
connect-4,mlp_deep,IsolationForest,remove,2,3,0.7895467160037003
connect-4,mlp_deep,IsolationForest,remove,2,4,0.7962534690101758
connect-4,mlp_deep,IsolationForest,remove,2,5,0.7895467160037003
connect-4,mlp_deep,IsolationForest,remove,2,6,0.7864908628267407
connect-4,mlp_deep,IsolationForest,remove,2,7,0.8033772842933148
connect-4,mlp_deep,IsolationForest,remove,2,8,0.796206338191071
connect-4,mlp_deep,IsolationForest,remove,2,9,0.7827897293546149
