dataset,model,detector,treatment,run,fold,score
connect-4,mlp_deep,Percentile,clip,0,0,0.7791396854764108
connect-4,mlp_deep,Percentile,clip,0,1,0.7920906567992599
connect-4,mlp_deep,Percentile,clip,0,2,0.7918593894542091
connect-4,mlp_deep,Percentile,clip,0,3,0.7944033302497687
connect-4,mlp_deep,Percentile,clip,0,4,0.7821461609620721
connect-4,mlp_deep,Percentile,clip,0,5,0.7927844588344126
connect-4,mlp_deep,Percentile,clip,0,6,0.7869535045107564
connect-4,mlp_deep,Percentile,clip,0,7,0.7786259541984732
connect-4,mlp_deep,Percentile,clip,0,8,0.7869535045107564
connect-4,mlp_deep,Percentile,clip,0,9,0.7920425630349295
connect-4,mlp_deep,Percentile,clip,1,0,0.7948658649398704
connect-4,mlp_deep,Percentile,clip,1,1,0.7844588344125809
connect-4,mlp_deep,Percentile,clip,1,2,0.7920906567992599
connect-4,mlp_deep,Percentile,clip,1,3,0.7851526364477336
connect-4,mlp_deep,Percentile,clip,1,4,0.7856151711378353
connect-4,mlp_deep,Percentile,clip,1,5,0.7934782608695652
connect-4,mlp_deep,Percentile,clip,1,6,0.7800138792505205
connect-4,mlp_deep,Percentile,clip,1,7,0.7904233171408744
connect-4,mlp_deep,Percentile,clip,1,8,0.7848716169326856
connect-4,mlp_deep,Percentile,clip,1,9,0.7855655794587092
connect-4,mlp_deep,Percentile,clip,2,0,0.7800647548566142
connect-4,mlp_deep,Percentile,clip,2,1,0.7784458834412581
connect-4,mlp_deep,Percentile,clip,2,2,0.7846901017576319
connect-4,mlp_deep,Percentile,clip,2,3,0.7839962997224792
connect-4,mlp_deep,Percentile,clip,2,4,0.7895467160037003
connect-4,mlp_deep,Percentile,clip,2,5,0.7759019426456985
connect-4,mlp_deep,Percentile,clip,2,6,0.7825584085126069
connect-4,mlp_deep,Percentile,clip,2,7,0.7841776544066621
connect-4,mlp_deep,Percentile,clip,2,8,0.7869535045107564
connect-4,mlp_deep,Percentile,clip,2,9,0.7899606754568587
