dataset,model,detector,treatment,run,fold,score
connect-4,mlp_deep,Percentile,remove,0,0,0.6931082331174838
connect-4,mlp_deep,Percentile,remove,0,1,0.6947271045328399
connect-4,mlp_deep,Percentile,remove,0,2,0.6979648473635522
connect-4,mlp_deep,Percentile,remove,0,3,0.6838575393154487
connect-4,mlp_deep,Percentile,remove,0,4,0.706290471785384
connect-4,mlp_deep,Percentile,remove,0,5,0.688945420906568
connect-4,mlp_deep,Percentile,remove,0,6,0.6803145963451307
connect-4,mlp_deep,Percentile,remove,0,7,0.6719870460328475
connect-4,mlp_deep,Percentile,remove,0,8,0.6817025213971779
connect-4,mlp_deep,Percentile,remove,0,9,0.6944251677076104
connect-4,mlp_deep,Percentile,remove,1,0,0.7092969472710453
connect-4,mlp_deep,Percentile,remove,1,1,0.679463459759482
connect-4,mlp_deep,Percentile,remove,1,2,0.690795559666975
connect-4,mlp_deep,Percentile,remove,1,3,0.6898704902867715
connect-4,mlp_deep,Percentile,remove,1,4,0.6845513413506013
connect-4,mlp_deep,Percentile,remove,1,5,0.7178538390379279
connect-4,mlp_deep,Percentile,remove,1,6,0.6962757344436734
connect-4,mlp_deep,Percentile,remove,1,7,0.6939625260235948
connect-4,mlp_deep,Percentile,remove,1,8,0.6775387462410363
connect-4,mlp_deep,Percentile,remove,1,9,0.6768447837150128
connect-4,mlp_deep,Percentile,remove,2,0,0.6822386679000925
connect-4,mlp_deep,Percentile,remove,2,1,0.711840888066605
connect-4,mlp_deep,Percentile,remove,2,2,0.727104532839963
connect-4,mlp_deep,Percentile,remove,2,3,0.6803885291396855
connect-4,mlp_deep,Percentile,remove,2,4,0.6891766882516188
connect-4,mlp_deep,Percentile,remove,2,5,0.6799259944495837
connect-4,mlp_deep,Percentile,remove,2,6,0.7096923432801295
connect-4,mlp_deep,Percentile,remove,2,7,0.7094610224381217
connect-4,mlp_deep,Percentile,remove,2,8,0.7099236641221374
connect-4,mlp_deep,Percentile,remove,2,9,0.6705991209808003
