dataset,model,detector,treatment,run,fold,score
connect-4,mlp_deep,ZScore,clip,0,0,0.7893154486586494
connect-4,mlp_deep,ZScore,clip,0,1,0.8018038852913969
connect-4,mlp_deep,ZScore,clip,0,2,0.7962534690101758
connect-4,mlp_deep,ZScore,clip,0,3,0.7999537465309898
connect-4,mlp_deep,ZScore,clip,0,4,0.7888529139685476
connect-4,mlp_deep,ZScore,clip,0,5,0.7985661424606846
connect-4,mlp_deep,ZScore,clip,0,6,0.7899606754568587
connect-4,mlp_deep,ZScore,clip,0,7,0.7830210501966227
connect-4,mlp_deep,ZScore,clip,0,8,0.7871848253527642
connect-4,mlp_deep,ZScore,clip,0,9,0.7929678464029609
connect-4,mlp_deep,ZScore,clip,1,0,0.7955596669750231
connect-4,mlp_deep,ZScore,clip,1,1,0.7772895467160037
connect-4,mlp_deep,ZScore,clip,1,2,0.7867715078630897
connect-4,mlp_deep,ZScore,clip,1,3,0.7888529139685476
connect-4,mlp_deep,ZScore,clip,1,4,0.795790934320074
connect-4,mlp_deep,ZScore,clip,1,5,0.7985661424606846
connect-4,mlp_deep,ZScore,clip,1,6,0.7832523710386305
connect-4,mlp_deep,ZScore,clip,1,7,0.8006014341892205
connect-4,mlp_deep,ZScore,clip,1,8,0.7899606754568587
connect-4,mlp_deep,ZScore,clip,1,9,0.7844089752486699
connect-4,mlp_deep,ZScore,clip,2,0,0.7974098057354302
connect-4,mlp_deep,ZScore,clip,2,1,0.7927844588344126
connect-4,mlp_deep,ZScore,clip,2,2,0.7867715078630897
connect-4,mlp_deep,ZScore,clip,2,3,0.7960222016651248
connect-4,mlp_deep,ZScore,clip,2,4,0.793940795559667
connect-4,mlp_deep,ZScore,clip,2,5,0.7987974098057354
connect-4,mlp_deep,ZScore,clip,2,6,0.7918112421929215
connect-4,mlp_deep,ZScore,clip,2,7,0.7992135091371733
connect-4,mlp_deep,ZScore,clip,2,8,0.7959750173490632
connect-4,mlp_deep,ZScore,clip,2,9,0.7957436965070552
