dataset,model,detector,treatment,run,fold,score
connect-4,randomforest,IsolationForest,remove,0,0,0.7932469935245143
connect-4,randomforest,IsolationForest,remove,0,1,0.8024976873265495
connect-4,randomforest,IsolationForest,remove,0,2,0.8117483811285846
connect-4,randomforest,IsolationForest,remove,0,3,0.8052728954671601
connect-4,randomforest,IsolationForest,remove,0,4,0.7967160037002775
connect-4,randomforest,IsolationForest,remove,0,5,0.8085106382978723
connect-4,randomforest,IsolationForest,remove,0,6,0.7994448299791811
connect-4,randomforest,IsolationForest,remove,0,7,0.7957436965070552
connect-4,randomforest,IsolationForest,remove,0,8,0.7959750173490632
connect-4,randomforest,IsolationForest,remove,0,9,0.8029146426092991
connect-4,randomforest,IsolationForest,remove,1,0,0.8011100832562442
connect-4,randomforest,IsolationForest,remove,1,1,0.7953283996299723
connect-4,randomforest,IsolationForest,remove,1,2,0.8001850138760407
connect-4,randomforest,IsolationForest,remove,1,3,0.7985661424606846
connect-4,randomforest,IsolationForest,remove,1,4,0.8061979648473635
connect-4,randomforest,IsolationForest,remove,1,5,0.8022664199814986
connect-4,randomforest,IsolationForest,remove,1,6,0.7992135091371733
connect-4,randomforest,IsolationForest,remove,1,7,0.8054591718713856
connect-4,randomforest,IsolationForest,remove,1,8,0.8052278510293778
connect-4,randomforest,IsolationForest,remove,1,9,0.796206338191071
connect-4,randomforest,IsolationForest,remove,2,0,0.8052728954671601
connect-4,randomforest,IsolationForest,remove,2,1,0.7983348751156337
connect-4,randomforest,IsolationForest,remove,2,2,0.7962534690101758
connect-4,randomforest,IsolationForest,remove,2,3,0.8001850138760407
connect-4,randomforest,IsolationForest,remove,2,4,0.8115171137835338
connect-4,randomforest,IsolationForest,remove,2,5,0.7962534690101758
connect-4,randomforest,IsolationForest,remove,2,6,0.7989821882951654
connect-4,randomforest,IsolationForest,remove,2,7,0.806615776081425
connect-4,randomforest,IsolationForest,remove,2,8,0.8093916261855193
connect-4,randomforest,IsolationForest,remove,2,9,0.796206338191071
