dataset,model,detector,treatment,run,fold,score
connect-4,randomforest,LOF,remove,0,0,0.793709528214616
connect-4,randomforest,LOF,remove,0,1,0.8066604995374653
connect-4,randomforest,LOF,remove,0,2,0.8163737280296022
connect-4,randomforest,LOF,remove,0,3,0.8094357076780758
connect-4,randomforest,LOF,remove,0,4,0.7987974098057354
connect-4,randomforest,LOF,remove,0,5,0.8043478260869565
connect-4,randomforest,LOF,remove,0,6,0.8012953967152441
connect-4,randomforest,LOF,remove,0,7,0.7934304880869766
connect-4,randomforest,LOF,remove,0,8,0.7957436965070552
connect-4,randomforest,LOF,remove,0,9,0.8045338885033542
connect-4,randomforest,LOF,remove,1,0,0.8006475485661425
connect-4,randomforest,LOF,remove,1,1,0.7990286771507863
connect-4,randomforest,LOF,remove,1,2,0.7985661424606846
connect-4,randomforest,LOF,remove,1,3,0.7999537465309898
connect-4,randomforest,LOF,remove,1,4,0.8045790934320074
connect-4,randomforest,LOF,remove,1,5,0.8043478260869565
connect-4,randomforest,LOF,remove,1,6,0.797825584085126
connect-4,randomforest,LOF,remove,1,7,0.8140180430256766
connect-4,randomforest,LOF,remove,1,8,0.8029146426092991
connect-4,randomforest,LOF,remove,1,9,0.8033772842933148
connect-4,randomforest,LOF,remove,2,0,0.809204440333025
connect-4,randomforest,LOF,remove,2,1,0.8031914893617021
connect-4,randomforest,LOF,remove,2,2,0.7960222016651248
connect-4,randomforest,LOF,remove,2,3,0.7932469935245143
connect-4,randomforest,LOF,remove,2,4,0.8156799259944496
connect-4,randomforest,LOF,remove,2,5,0.7969472710453284
connect-4,randomforest,LOF,remove,2,6,0.8006014341892205
connect-4,randomforest,LOF,remove,2,7,0.804765209345362
connect-4,randomforest,LOF,remove,2,8,0.8075410594494564
connect-4,randomforest,LOF,remove,2,9,0.7966689798750868
