dataset,model,detector,treatment,run,fold,score
connect-4,randomforest,None,remove,0,0,0.7953283996299723
connect-4,randomforest,None,remove,0,1,0.8115171137835338
connect-4,randomforest,None,remove,0,2,0.8184551341350601
connect-4,randomforest,None,remove,0,3,0.8115171137835338
connect-4,randomforest,None,remove,0,4,0.793709528214616
connect-4,randomforest,None,remove,0,5,0.8055041628122109
connect-4,randomforest,None,remove,0,6,0.8070784177654406
connect-4,randomforest,None,remove,0,7,0.7952810548230396
connect-4,randomforest,None,remove,0,8,0.7992135091371733
connect-4,randomforest,None,remove,0,9,0.8061531343974092
connect-4,randomforest,None,remove,1,0,0.8094357076780758
connect-4,randomforest,None,remove,1,1,0.8013413506012951
connect-4,randomforest,None,remove,1,2,0.8008788159111934
connect-4,randomforest,None,remove,1,3,0.8055041628122109
connect-4,randomforest,None,remove,1,4,0.809204440333025
connect-4,randomforest,None,remove,1,5,0.8075855689176689
connect-4,randomforest,None,remove,1,6,0.8017580383992597
connect-4,randomforest,None,remove,1,7,0.8110108720795743
connect-4,randomforest,None,remove,1,8,0.8043025676613463
connect-4,randomforest,None,remove,1,9,0.803145963451307
connect-4,randomforest,None,remove,2,0,0.8094357076780758
connect-4,randomforest,None,remove,2,1,0.8055041628122109
connect-4,randomforest,None,remove,2,2,0.7953283996299723
connect-4,randomforest,None,remove,2,3,0.8018038852913969
connect-4,randomforest,None,remove,2,4,0.8175300647548566
connect-4,randomforest,None,remove,2,5,0.7990286771507863
connect-4,randomforest,None,remove,2,6,0.803145963451307
connect-4,randomforest,None,remove,2,7,0.8121674762896137
connect-4,randomforest,None,remove,2,8,0.8123987971316216
connect-4,randomforest,None,remove,2,9,0.7920425630349295
