dataset,model,detector,treatment,run,fold,score
connect-4,randomforest,Percentile,clip,0,0,0.7668825161887142
connect-4,randomforest,Percentile,clip,0,1,0.78422756706753
connect-4,randomforest,Percentile,clip,0,2,0.7879278445883441
connect-4,randomforest,Percentile,clip,0,3,0.7851526364477336
connect-4,randomforest,Percentile,clip,0,4,0.7717391304347826
connect-4,randomforest,Percentile,clip,0,5,0.782608695652174
connect-4,randomforest,Percentile,clip,0,6,0.7772380291464261
connect-4,randomforest,Percentile,clip,0,7,0.7628961369419385
connect-4,randomforest,Percentile,clip,0,8,0.7691417996761508
connect-4,randomforest,Percentile,clip,0,9,0.7864908628267407
connect-4,randomforest,Percentile,clip,1,0,0.7800647548566142
connect-4,randomforest,Percentile,clip,1,1,0.7675763182238667
connect-4,randomforest,Percentile,clip,1,2,0.7814523589269196
connect-4,randomforest,Percentile,clip,1,3,0.776595744680851
connect-4,randomforest,Percentile,clip,1,4,0.778677150786309
connect-4,randomforest,Percentile,clip,1,5,0.778677150786309
connect-4,randomforest,Percentile,clip,1,6,0.775618783252371
connect-4,randomforest,Percentile,clip,1,7,0.7837150127226463
connect-4,randomforest,Percentile,clip,1,8,0.7820957668285913
connect-4,randomforest,Percentile,clip,1,9,0.7746934998843396
connect-4,randomforest,Percentile,clip,2,0,0.7819148936170213
connect-4,randomforest,Percentile,clip,2,1,0.7754394079555966
connect-4,randomforest,Percentile,clip,2,2,0.7814523589269196
connect-4,randomforest,Percentile,clip,2,3,0.7798334875115633
connect-4,randomforest,Percentile,clip,2,4,0.7923219241443108
connect-4,randomforest,Percentile,clip,2,5,0.7724329324699353
connect-4,randomforest,Percentile,clip,2,6,0.7765440666204025
connect-4,randomforest,Percentile,clip,2,7,0.7763127457783946
connect-4,randomforest,Percentile,clip,2,8,0.7786259541984732
connect-4,randomforest,Percentile,clip,2,9,0.7716863289382373
