dataset,model,detector,treatment,run,fold,score
connect-4,randomforest,Percentile,remove,0,0,0.7620259019426457
connect-4,randomforest,Percentile,remove,0,1,0.7733580018501388
connect-4,randomforest,Percentile,remove,0,2,0.7772895467160037
connect-4,randomforest,Percentile,remove,0,3,0.7759019426456985
connect-4,randomforest,Percentile,remove,0,4,0.7636447733580018
connect-4,randomforest,Percentile,remove,0,5,0.7722016651248844
connect-4,randomforest,Percentile,remove,0,6,0.7728429331482767
connect-4,randomforest,Percentile,remove,0,7,0.7640527411519777
connect-4,randomforest,Percentile,remove,0,8,0.7622021744159149
connect-4,randomforest,Percentile,remove,0,9,0.7663659495720564
connect-4,randomforest,Percentile,remove,1,0,0.7624884366327475
connect-4,randomforest,Percentile,remove,1,1,0.765263644773358
connect-4,randomforest,Percentile,remove,1,2,0.7717391304347826
connect-4,randomforest,Percentile,remove,1,3,0.7613320999074931
connect-4,randomforest,Percentile,remove,1,4,0.7682701202590194
connect-4,randomforest,Percentile,remove,1,5,0.7759019426456985
connect-4,randomforest,Percentile,remove,1,6,0.7624334952579227
connect-4,randomforest,Percentile,remove,1,7,0.7746934998843396
connect-4,randomforest,Percentile,remove,1,8,0.7723802914642609
connect-4,randomforest,Percentile,remove,1,9,0.7626648160999306
connect-4,randomforest,Percentile,remove,2,0,0.7668825161887142
connect-4,randomforest,Percentile,remove,2,1,0.7738205365402405
connect-4,randomforest,Percentile,remove,2,2,0.7624884366327475
connect-4,randomforest,Percentile,remove,2,3,0.7599444958371878
connect-4,randomforest,Percentile,remove,2,4,0.7860777058279371
connect-4,randomforest,Percentile,remove,2,5,0.7592506938020351
connect-4,randomforest,Percentile,remove,2,6,0.7668285912560722
connect-4,randomforest,Percentile,remove,2,7,0.7700670830441823
connect-4,randomforest,Percentile,remove,2,8,0.7723802914642609
connect-4,randomforest,Percentile,remove,2,9,0.7628961369419385
