dataset,model,detector,treatment,run,fold,score
connect-4,randomforest,ZScore,remove,0,0,0.7111470860314524
connect-4,randomforest,ZScore,remove,0,1,0.7183163737280296
connect-4,randomforest,ZScore,remove,0,2,0.7379740980573543
connect-4,randomforest,ZScore,remove,0,3,0.7326549491211841
connect-4,randomforest,ZScore,remove,0,4,0.7141535615171137
connect-4,randomforest,ZScore,remove,0,5,0.7261794634597595
connect-4,randomforest,ZScore,remove,0,6,0.731205181586861
connect-4,randomforest,ZScore,remove,0,7,0.7161693268563497
connect-4,randomforest,ZScore,remove,0,8,0.7164006476983577
connect-4,randomforest,ZScore,remove,0,9,0.7217210270645386
connect-4,randomforest,ZScore,remove,1,0,0.7238667900092507
connect-4,randomforest,ZScore,remove,1,1,0.7164662349676225
connect-4,randomforest,ZScore,remove,1,2,0.7201665124884367
connect-4,randomforest,ZScore,remove,1,3,0.7183163737280296
connect-4,randomforest,ZScore,remove,1,4,0.7250231267345051
connect-4,randomforest,ZScore,remove,1,5,0.7370490286771508
connect-4,randomforest,ZScore,remove,1,6,0.724265556326625
connect-4,randomforest,ZScore,remove,1,7,0.727735368956743
connect-4,randomforest,ZScore,remove,1,8,0.7201017811704835
connect-4,randomforest,ZScore,remove,1,9,0.7182512144344205
connect-4,randomforest,ZScore,remove,2,0,0.721322849213691
connect-4,randomforest,ZScore,remove,2,1,0.7229417206290472
connect-4,randomforest,ZScore,remove,2,2,0.709990749306198
connect-4,randomforest,ZScore,remove,2,3,0.7197039777983348
connect-4,randomforest,ZScore,remove,2,4,0.7342738205365402
connect-4,randomforest,ZScore,remove,2,5,0.7129972247918593
connect-4,randomforest,ZScore,remove,2,6,0.7247281980106408
connect-4,randomforest,ZScore,remove,2,7,0.7291232940087902
connect-4,randomforest,ZScore,remove,2,8,0.7325931066389082
connect-4,randomforest,ZScore,remove,2,9,0.724265556326625
