dataset,model,detector,treatment,run,fold,score
connect-4,xgboost,IsolationForest,remove,0,0,0.8293246993524515
connect-4,xgboost,IsolationForest,remove,0,1,0.8438945420906568
connect-4,xgboost,IsolationForest,remove,0,2,0.8399629972247918
connect-4,xgboost,IsolationForest,remove,0,3,0.8469010175763182
connect-4,xgboost,IsolationForest,remove,0,4,0.8327937095282146
connect-4,xgboost,IsolationForest,remove,0,5,0.8411193339500462
connect-4,xgboost,IsolationForest,remove,0,6,0.8364561647004395
connect-4,xgboost,IsolationForest,remove,0,7,0.8406199398565811
connect-4,xgboost,IsolationForest,remove,0,8,0.8334489937543372
connect-4,xgboost,IsolationForest,remove,0,9,0.840851260698589
connect-4,xgboost,IsolationForest,remove,1,0,0.8369565217391305
connect-4,xgboost,IsolationForest,remove,1,1,0.8309435707678076
connect-4,xgboost,IsolationForest,remove,1,2,0.839731729879741
connect-4,xgboost,IsolationForest,remove,1,3,0.8304810360777058
connect-4,xgboost,IsolationForest,remove,1,4,0.8445883441258094
connect-4,xgboost,IsolationForest,remove,1,5,0.8420444033302498
connect-4,xgboost,IsolationForest,remove,1,6,0.8341429562803608
connect-4,xgboost,IsolationForest,remove,1,7,0.835530881332408
connect-4,xgboost,IsolationForest,remove,1,8,0.8364561647004395
connect-4,xgboost,IsolationForest,remove,1,9,0.8396946564885496
connect-4,xgboost,IsolationForest,remove,2,0,0.8441258094357077
connect-4,xgboost,IsolationForest,remove,2,1,0.8381128584643849
connect-4,xgboost,IsolationForest,remove,2,2,0.8351063829787234
connect-4,xgboost,IsolationForest,remove,2,3,0.8376503237742831
connect-4,xgboost,IsolationForest,remove,2,4,0.8489824236817761
connect-4,xgboost,IsolationForest,remove,2,5,0.8390379278445883
connect-4,xgboost,IsolationForest,remove,2,6,0.8378440897524867
connect-4,xgboost,IsolationForest,remove,2,7,0.8443210733287069
connect-4,xgboost,IsolationForest,remove,2,8,0.8450150358547305
connect-4,xgboost,IsolationForest,remove,2,9,0.8396946564885496
