dataset,model,detector,treatment,run,fold,score
connect-4,xgboost,LOF,remove,0,0,0.82631822386679
connect-4,xgboost,LOF,remove,0,1,0.8427382053654024
connect-4,xgboost,LOF,remove,0,2,0.8399629972247918
connect-4,xgboost,LOF,remove,0,3,0.8496762257169288
connect-4,xgboost,LOF,remove,0,4,0.8353376503237743
connect-4,xgboost,LOF,remove,0,5,0.843432007400555
connect-4,xgboost,LOF,remove,0,6,0.8376127689104789
connect-4,xgboost,LOF,remove,0,7,0.8376127689104789
connect-4,xgboost,LOF,remove,0,8,0.8327550312283136
connect-4,xgboost,LOF,remove,0,9,0.8459403192227619
connect-4,xgboost,LOF,remove,1,0,0.8369565217391305
connect-4,xgboost,LOF,remove,1,1,0.8364939870490287
connect-4,xgboost,LOF,remove,1,2,0.8392691951896393
connect-4,xgboost,LOF,remove,1,3,0.8362627197039778
connect-4,xgboost,LOF,remove,1,4,0.8413506012950971
connect-4,xgboost,LOF,remove,1,5,0.8443570767807586
connect-4,xgboost,LOF,remove,1,6,0.8336803145963452
connect-4,xgboost,LOF,remove,1,7,0.8450150358547305
connect-4,xgboost,LOF,remove,1,8,0.8415452232246126
connect-4,xgboost,LOF,remove,1,9,0.8396946564885496
connect-4,xgboost,LOF,remove,2,0,0.8406567992599445
connect-4,xgboost,LOF,remove,2,1,0.8411193339500462
connect-4,xgboost,LOF,remove,2,2,0.8307123034227567
connect-4,xgboost,LOF,remove,2,3,0.8411193339500462
connect-4,xgboost,LOF,remove,2,4,0.8506012950971323
connect-4,xgboost,LOF,remove,2,5,0.8351063829787234
connect-4,xgboost,LOF,remove,2,6,0.8357622021744159
connect-4,xgboost,LOF,remove,2,7,0.8452463566967384
connect-4,xgboost,LOF,remove,2,8,0.8447837150127226
connect-4,xgboost,LOF,remove,2,9,0.8394633356465417
