dataset,model,detector,treatment,run,fold,score
connect-4,xgboost,Percentile,clip,0,0,0.818686401480111
connect-4,xgboost,Percentile,clip,0,1,0.8297872340425532
connect-4,xgboost,Percentile,clip,0,2,0.8330249768732655
connect-4,xgboost,Percentile,clip,0,3,0.8318686401480111
connect-4,xgboost,Percentile,clip,0,4,0.8265494912118408
connect-4,xgboost,Percentile,clip,0,5,0.8304810360777058
connect-4,xgboost,Percentile,clip,0,6,0.8341429562803608
connect-4,xgboost,Percentile,clip,0,7,0.8244274809160306
connect-4,xgboost,Percentile,clip,0,8,0.8179504973398103
connect-4,xgboost,Percentile,clip,0,9,0.8295165394402035
connect-4,xgboost,Percentile,clip,1,0,0.8297872340425532
connect-4,xgboost,Percentile,clip,1,1,0.8191489361702128
connect-4,xgboost,Percentile,clip,1,2,0.8277058279370952
connect-4,xgboost,Percentile,clip,1,3,0.8251618871415356
connect-4,xgboost,Percentile,clip,1,4,0.8249306197964847
connect-4,xgboost,Percentile,clip,1,5,0.8323311748381128
connect-4,xgboost,Percentile,clip,1,6,0.8299791811242193
connect-4,xgboost,Percentile,clip,1,7,0.8311357853342586
connect-4,xgboost,Percentile,clip,1,8,0.8274346518621328
connect-4,xgboost,Percentile,clip,1,9,0.8306731436502429
connect-4,xgboost,Percentile,clip,2,0,0.8316373728029602
connect-4,xgboost,Percentile,clip,2,1,0.8233117483811286
connect-4,xgboost,Percentile,clip,2,2,0.8223866790009251
connect-4,xgboost,Percentile,clip,2,3,0.8249306197964847
connect-4,xgboost,Percentile,clip,2,4,0.832099907493062
connect-4,xgboost,Percentile,clip,2,5,0.8228492136910268
connect-4,xgboost,Percentile,clip,2,6,0.8225769141799676
connect-4,xgboost,Percentile,clip,2,7,0.8285912560721721
connect-4,xgboost,Percentile,clip,2,8,0.833911635438353
connect-4,xgboost,Percentile,clip,2,9,0.8239648392320148
