dataset,model,detector,treatment,run,fold,score
connect-4,xgboost,ZScore,clip,0,0,0.8277058279370952
connect-4,xgboost,ZScore,clip,0,1,0.8374190564292322
connect-4,xgboost,ZScore,clip,0,2,0.8445883441258094
connect-4,xgboost,ZScore,clip,0,3,0.8425069380203515
connect-4,xgboost,ZScore,clip,0,4,0.8293246993524515
connect-4,xgboost,ZScore,clip,0,5,0.8415818686401481
connect-4,xgboost,ZScore,clip,0,6,0.8306731436502429
connect-4,xgboost,ZScore,clip,0,7,0.832292389544298
connect-4,xgboost,ZScore,clip,0,8,0.8258154059680777
connect-4,xgboost,ZScore,clip,0,9,0.8452463566967384
connect-4,xgboost,ZScore,clip,1,0,0.8346438482886216
connect-4,xgboost,ZScore,clip,1,1,0.8267807585568918
connect-4,xgboost,ZScore,clip,1,2,0.8346438482886216
connect-4,xgboost,ZScore,clip,1,3,0.8295559666975023
connect-4,xgboost,ZScore,clip,1,4,0.843432007400555
connect-4,xgboost,ZScore,clip,1,5,0.8390379278445883
connect-4,xgboost,ZScore,clip,1,6,0.8369188063844553
connect-4,xgboost,ZScore,clip,1,7,0.8438584316446912
connect-4,xgboost,ZScore,clip,1,8,0.8371501272264631
connect-4,xgboost,ZScore,clip,1,9,0.835530881332408
connect-4,xgboost,ZScore,clip,2,0,0.839731729879741
connect-4,xgboost,ZScore,clip,2,1,0.8355689176688251
connect-4,xgboost,ZScore,clip,2,2,0.832099907493062
connect-4,xgboost,ZScore,clip,2,3,0.8362627197039778
connect-4,xgboost,ZScore,clip,2,4,0.8469010175763182
connect-4,xgboost,ZScore,clip,2,5,0.8399629972247918
connect-4,xgboost,ZScore,clip,2,6,0.832292389544298
connect-4,xgboost,ZScore,clip,2,7,0.8364561647004395
connect-4,xgboost,ZScore,clip,2,8,0.8438584316446912
connect-4,xgboost,ZScore,clip,2,9,0.8390006939625261
