dataset,model,detector,treatment,run,fold,score
connect-4,xgboost,ZScore,remove,0,0,0.7192414431082331
connect-4,xgboost,ZScore,remove,0,1,0.7275670675300647
connect-4,xgboost,ZScore,remove,0,2,0.7296484736355227
connect-4,xgboost,ZScore,remove,0,3,0.7338112858464385
connect-4,xgboost,ZScore,remove,0,4,0.7113783533765032
connect-4,xgboost,ZScore,remove,0,5,0.7321924144310823
connect-4,xgboost,ZScore,remove,0,6,0.7388387693731205
connect-4,xgboost,ZScore,remove,0,7,0.7291232940087902
connect-4,xgboost,ZScore,remove,0,8,0.727735368956743
connect-4,xgboost,ZScore,remove,0,9,0.7286606523247745
connect-4,xgboost,ZScore,remove,1,0,0.7257169287696578
connect-4,xgboost,ZScore,remove,1,1,0.71577243293247
connect-4,xgboost,ZScore,remove,1,2,0.7314986123959297
connect-4,xgboost,ZScore,remove,1,3,0.7245605920444034
connect-4,xgboost,ZScore,remove,1,4,0.7277983348751156
connect-4,xgboost,ZScore,remove,1,5,0.7282608695652174
connect-4,xgboost,ZScore,remove,1,6,0.7330557483229239
connect-4,xgboost,ZScore,remove,1,7,0.739764052741152
connect-4,xgboost,ZScore,remove,1,8,0.7281980106407587
connect-4,xgboost,ZScore,remove,1,9,0.7238029146426093
connect-4,xgboost,ZScore,remove,2,0,0.723172987974098
connect-4,xgboost,ZScore,remove,2,1,0.7236355226641998
connect-4,xgboost,ZScore,remove,2,2,0.719472710453284
connect-4,xgboost,ZScore,remove,2,3,0.7280296022201665
connect-4,xgboost,ZScore,remove,2,4,0.7340425531914894
connect-4,xgboost,ZScore,remove,2,5,0.7254856614246068
connect-4,xgboost,ZScore,remove,2,6,0.7305112190608374
connect-4,xgboost,ZScore,remove,2,7,0.7365255609530419
connect-4,xgboost,ZScore,remove,2,8,0.7362942401110341
connect-4,xgboost,ZScore,remove,2,9,0.7228776312745778
