dataset,model,detector,treatment,run,fold,score
cpu_act,mlp,IsolationForest,remove,0,0,20.606339351789757
cpu_act,mlp,IsolationForest,remove,0,1,13.867166110149375
cpu_act,mlp,IsolationForest,remove,0,2,12.298601154963638
cpu_act,mlp,IsolationForest,remove,0,3,16.620568215060732
cpu_act,mlp,IsolationForest,remove,0,4,11.8129212050482
cpu_act,mlp,IsolationForest,remove,0,5,13.695015690430896
cpu_act,mlp,IsolationForest,remove,0,6,11.228619282032628
cpu_act,mlp,IsolationForest,remove,0,7,12.190589878733425
cpu_act,mlp,IsolationForest,remove,0,8,11.957393041187418
cpu_act,mlp,IsolationForest,remove,0,9,9.927191672937283
cpu_act,mlp,IsolationForest,remove,1,0,13.382553426126867
cpu_act,mlp,IsolationForest,remove,1,1,11.327556168913732
cpu_act,mlp,IsolationForest,remove,1,2,14.9866874219039
cpu_act,mlp,IsolationForest,remove,1,3,8.704072446340065
cpu_act,mlp,IsolationForest,remove,1,4,14.735800681785534
cpu_act,mlp,IsolationForest,remove,1,5,11.661890723337642
cpu_act,mlp,IsolationForest,remove,1,6,11.978604901540354
cpu_act,mlp,IsolationForest,remove,1,7,16.265576526841055
cpu_act,mlp,IsolationForest,remove,1,8,11.643144021865792
cpu_act,mlp,IsolationForest,remove,1,9,11.294182711397024
cpu_act,mlp,IsolationForest,remove,2,0,15.964322869849594
cpu_act,mlp,IsolationForest,remove,2,1,11.134447834774146
cpu_act,mlp,IsolationForest,remove,2,2,13.2396929164851
cpu_act,mlp,IsolationForest,remove,2,3,13.328292626958813
cpu_act,mlp,IsolationForest,remove,2,4,13.499864738371912
cpu_act,mlp,IsolationForest,remove,2,5,17.5279291913758
cpu_act,mlp,IsolationForest,remove,2,6,9.024217520139667
cpu_act,mlp,IsolationForest,remove,2,7,9.676957929528177
cpu_act,mlp,IsolationForest,remove,2,8,16.377911142986033
cpu_act,mlp,IsolationForest,remove,2,9,10.28090344011555
