dataset,model,detector,treatment,run,fold,score
cpu_act,mlp,None,remove,0,0,15.986106498700371
cpu_act,mlp,None,remove,0,1,9.890072618114253
cpu_act,mlp,None,remove,0,2,9.985194359034276
cpu_act,mlp,None,remove,0,3,10.808978541875076
cpu_act,mlp,None,remove,0,4,9.768946369129887
cpu_act,mlp,None,remove,0,5,9.913163426394261
cpu_act,mlp,None,remove,0,6,9.609265715785263
cpu_act,mlp,None,remove,0,7,12.072254332095767
cpu_act,mlp,None,remove,0,8,8.802840123242783
cpu_act,mlp,None,remove,0,9,9.680869867143498
cpu_act,mlp,None,remove,1,0,9.142157904534317
cpu_act,mlp,None,remove,1,1,9.672870176496273
cpu_act,mlp,None,remove,1,2,10.621598751199363
cpu_act,mlp,None,remove,1,3,8.86566547789499
cpu_act,mlp,None,remove,1,4,11.372313836683977
cpu_act,mlp,None,remove,1,5,9.405545951733158
cpu_act,mlp,None,remove,1,6,9.480503657021263
cpu_act,mlp,None,remove,1,7,13.402236143442297
cpu_act,mlp,None,remove,1,8,10.64174262277637
cpu_act,mlp,None,remove,1,9,9.942636399396733
cpu_act,mlp,None,remove,2,0,11.231982518118413
cpu_act,mlp,None,remove,2,1,9.350738468012587
cpu_act,mlp,None,remove,2,2,9.907083044066946
cpu_act,mlp,None,remove,2,3,9.058934380625011
cpu_act,mlp,None,remove,2,4,9.47340473965904
cpu_act,mlp,None,remove,2,5,11.049322190515415
cpu_act,mlp,None,remove,2,6,7.9754383078311895
cpu_act,mlp,None,remove,2,7,9.949825189927006
cpu_act,mlp,None,remove,2,8,15.288704175596761
cpu_act,mlp,None,remove,2,9,10.885298621540052
