dataset,model,detector,treatment,run,fold,score
cpu_act,mlp,Percentile,clip,0,0,51.70896529252935
cpu_act,mlp,Percentile,clip,0,1,30.74026617754842
cpu_act,mlp,Percentile,clip,0,2,34.06167419966867
cpu_act,mlp,Percentile,clip,0,3,36.390985654541716
cpu_act,mlp,Percentile,clip,0,4,18.32561032929273
cpu_act,mlp,Percentile,clip,0,5,24.626695079200356
cpu_act,mlp,Percentile,clip,0,6,26.56876776873203
cpu_act,mlp,Percentile,clip,0,7,19.25762266045589
cpu_act,mlp,Percentile,clip,0,8,23.44499116098083
cpu_act,mlp,Percentile,clip,0,9,27.575081012960624
cpu_act,mlp,Percentile,clip,1,0,15.724327980987074
cpu_act,mlp,Percentile,clip,1,1,26.681778584205443
cpu_act,mlp,Percentile,clip,1,2,37.8273627479874
cpu_act,mlp,Percentile,clip,1,3,23.940100510961166
cpu_act,mlp,Percentile,clip,1,4,23.87304810133388
cpu_act,mlp,Percentile,clip,1,5,22.401018949939772
cpu_act,mlp,Percentile,clip,1,6,31.78253337595747
cpu_act,mlp,Percentile,clip,1,7,27.14939822779056
cpu_act,mlp,Percentile,clip,1,8,30.505504284522072
cpu_act,mlp,Percentile,clip,1,9,30.14171632200551
cpu_act,mlp,Percentile,clip,2,0,22.203459785473324
cpu_act,mlp,Percentile,clip,2,1,35.30256320829571
cpu_act,mlp,Percentile,clip,2,2,20.116633087634074
cpu_act,mlp,Percentile,clip,2,3,24.06567556269659
cpu_act,mlp,Percentile,clip,2,4,43.761952866129
cpu_act,mlp,Percentile,clip,2,5,34.48107852417693
cpu_act,mlp,Percentile,clip,2,6,23.158583515019927
cpu_act,mlp,Percentile,clip,2,7,37.58000831449625
cpu_act,mlp,Percentile,clip,2,8,21.057312361591016
cpu_act,mlp,Percentile,clip,2,9,19.610974563364525
