dataset,model,detector,treatment,run,fold,score
cpu_act,mlp_deep,Autoencoder,remove,0,0,15.792396725571626
cpu_act,mlp_deep,Autoencoder,remove,0,1,9.589039691022405
cpu_act,mlp_deep,Autoencoder,remove,0,2,8.308618366902046
cpu_act,mlp_deep,Autoencoder,remove,0,3,11.791310450193146
cpu_act,mlp_deep,Autoencoder,remove,0,4,11.171853061796735
cpu_act,mlp_deep,Autoencoder,remove,0,5,9.654659779341461
cpu_act,mlp_deep,Autoencoder,remove,0,6,10.944149686281445
cpu_act,mlp_deep,Autoencoder,remove,0,7,10.878204036030674
cpu_act,mlp_deep,Autoencoder,remove,0,8,9.199853474276857
cpu_act,mlp_deep,Autoencoder,remove,0,9,10.238401921435926
cpu_act,mlp_deep,Autoencoder,remove,1,0,9.93476674084343
cpu_act,mlp_deep,Autoencoder,remove,1,1,9.900585284203245
cpu_act,mlp_deep,Autoencoder,remove,1,2,12.452183162595247
cpu_act,mlp_deep,Autoencoder,remove,1,3,8.134265605743455
cpu_act,mlp_deep,Autoencoder,remove,1,4,13.357833533551549
cpu_act,mlp_deep,Autoencoder,remove,1,5,9.95813251173546
cpu_act,mlp_deep,Autoencoder,remove,1,6,9.380711263494062
cpu_act,mlp_deep,Autoencoder,remove,1,7,21.04246197460765
cpu_act,mlp_deep,Autoencoder,remove,1,8,9.790026025901017
cpu_act,mlp_deep,Autoencoder,remove,1,9,9.828310358022305
cpu_act,mlp_deep,Autoencoder,remove,2,0,11.9664904763438
cpu_act,mlp_deep,Autoencoder,remove,2,1,8.366513314268834
cpu_act,mlp_deep,Autoencoder,remove,2,2,12.148526116421218
cpu_act,mlp_deep,Autoencoder,remove,2,3,9.43579494669095
cpu_act,mlp_deep,Autoencoder,remove,2,4,10.077928083960542
cpu_act,mlp_deep,Autoencoder,remove,2,5,11.949568223913134
cpu_act,mlp_deep,Autoencoder,remove,2,6,8.444860713428913
cpu_act,mlp_deep,Autoencoder,remove,2,7,8.573912120283591
cpu_act,mlp_deep,Autoencoder,remove,2,8,17.985066356459456
cpu_act,mlp_deep,Autoencoder,remove,2,9,11.18689295409355
