dataset,model,detector,treatment,run,fold,score
cpu_act,mlp_deep,IsolationForest,remove,0,0,42.1436105852039
cpu_act,mlp_deep,IsolationForest,remove,0,1,12.097554340268431
cpu_act,mlp_deep,IsolationForest,remove,0,2,11.15736066460974
cpu_act,mlp_deep,IsolationForest,remove,0,3,20.08550989291572
cpu_act,mlp_deep,IsolationForest,remove,0,4,10.765483520285596
cpu_act,mlp_deep,IsolationForest,remove,0,5,12.76447016192297
cpu_act,mlp_deep,IsolationForest,remove,0,6,9.465294861121961
cpu_act,mlp_deep,IsolationForest,remove,0,7,11.850721594271736
cpu_act,mlp_deep,IsolationForest,remove,0,8,10.611212630764648
cpu_act,mlp_deep,IsolationForest,remove,0,9,9.758542177102383
cpu_act,mlp_deep,IsolationForest,remove,1,0,9.755984475849761
cpu_act,mlp_deep,IsolationForest,remove,1,1,13.959382979175022
cpu_act,mlp_deep,IsolationForest,remove,1,2,18.30047785993148
cpu_act,mlp_deep,IsolationForest,remove,1,3,8.38196717284022
cpu_act,mlp_deep,IsolationForest,remove,1,4,13.892105287618444
cpu_act,mlp_deep,IsolationForest,remove,1,5,12.358755556632675
cpu_act,mlp_deep,IsolationForest,remove,1,6,11.787750988932029
cpu_act,mlp_deep,IsolationForest,remove,1,7,45.36588203084763
cpu_act,mlp_deep,IsolationForest,remove,1,8,9.51782304798401
cpu_act,mlp_deep,IsolationForest,remove,1,9,9.927218967872689
cpu_act,mlp_deep,IsolationForest,remove,2,0,10.743936202674977
cpu_act,mlp_deep,IsolationForest,remove,2,1,10.63539467367723
cpu_act,mlp_deep,IsolationForest,remove,2,2,12.92924558336136
cpu_act,mlp_deep,IsolationForest,remove,2,3,16.01873519253045
cpu_act,mlp_deep,IsolationForest,remove,2,4,13.20644921725228
cpu_act,mlp_deep,IsolationForest,remove,2,5,10.27599798342432
cpu_act,mlp_deep,IsolationForest,remove,2,6,8.794445649367663
cpu_act,mlp_deep,IsolationForest,remove,2,7,11.926017425771485
cpu_act,mlp_deep,IsolationForest,remove,2,8,18.946399505926504
cpu_act,mlp_deep,IsolationForest,remove,2,9,13.67205478387809
