dataset,model,detector,treatment,run,fold,score
cpu_act,mlp_deep,LOF,remove,0,0,18.07110405945164
cpu_act,mlp_deep,LOF,remove,0,1,12.268389120642198
cpu_act,mlp_deep,LOF,remove,0,2,9.086109790390028
cpu_act,mlp_deep,LOF,remove,0,3,15.709951605403974
cpu_act,mlp_deep,LOF,remove,0,4,9.670350482306022
cpu_act,mlp_deep,LOF,remove,0,5,9.35073959173123
cpu_act,mlp_deep,LOF,remove,0,6,10.609594058601875
cpu_act,mlp_deep,LOF,remove,0,7,10.783855258709448
cpu_act,mlp_deep,LOF,remove,0,8,8.761046860771934
cpu_act,mlp_deep,LOF,remove,0,9,9.964685196318525
cpu_act,mlp_deep,LOF,remove,1,0,10.014723489164139
cpu_act,mlp_deep,LOF,remove,1,1,10.297932300171636
cpu_act,mlp_deep,LOF,remove,1,2,13.807988051366122
cpu_act,mlp_deep,LOF,remove,1,3,8.35922000130613
cpu_act,mlp_deep,LOF,remove,1,4,11.559726809827307
cpu_act,mlp_deep,LOF,remove,1,5,10.049122446172737
cpu_act,mlp_deep,LOF,remove,1,6,10.050522193722536
cpu_act,mlp_deep,LOF,remove,1,7,28.337356460459194
cpu_act,mlp_deep,LOF,remove,1,8,11.270683373865715
cpu_act,mlp_deep,LOF,remove,1,9,10.390441124200946
cpu_act,mlp_deep,LOF,remove,2,0,10.081383338656353
cpu_act,mlp_deep,LOF,remove,2,1,11.206324618778762
cpu_act,mlp_deep,LOF,remove,2,2,10.722995443618768
cpu_act,mlp_deep,LOF,remove,2,3,12.772166564453254
cpu_act,mlp_deep,LOF,remove,2,4,10.592346713038703
cpu_act,mlp_deep,LOF,remove,2,5,10.135052051493854
cpu_act,mlp_deep,LOF,remove,2,6,9.648899896197628
cpu_act,mlp_deep,LOF,remove,2,7,9.563499519564306
cpu_act,mlp_deep,LOF,remove,2,8,16.637975357425614
cpu_act,mlp_deep,LOF,remove,2,9,15.184455767086734
