dataset,model,detector,treatment,run,fold,score
cpu_act,mlp_deep,None,remove,0,0,13.90942029012309
cpu_act,mlp_deep,None,remove,0,1,9.622526995177548
cpu_act,mlp_deep,None,remove,0,2,8.64169973991637
cpu_act,mlp_deep,None,remove,0,3,12.643801878730256
cpu_act,mlp_deep,None,remove,0,4,9.578660927276278
cpu_act,mlp_deep,None,remove,0,5,8.803167584415617
cpu_act,mlp_deep,None,remove,0,6,9.630641256077972
cpu_act,mlp_deep,None,remove,0,7,9.746006493432404
cpu_act,mlp_deep,None,remove,0,8,8.514217514582421
cpu_act,mlp_deep,None,remove,0,9,9.691435134755872
cpu_act,mlp_deep,None,remove,1,0,9.72476443089165
cpu_act,mlp_deep,None,remove,1,1,9.740471048110274
cpu_act,mlp_deep,None,remove,1,2,10.959750642673091
cpu_act,mlp_deep,None,remove,1,3,8.212847445703243
cpu_act,mlp_deep,None,remove,1,4,10.549307982037027
cpu_act,mlp_deep,None,remove,1,5,8.974230751967
cpu_act,mlp_deep,None,remove,1,6,9.225262960238082
cpu_act,mlp_deep,None,remove,1,7,15.694838233724647
cpu_act,mlp_deep,None,remove,1,8,12.8834884893169
cpu_act,mlp_deep,None,remove,1,9,8.855044116690086
cpu_act,mlp_deep,None,remove,2,0,9.676392944577332
cpu_act,mlp_deep,None,remove,2,1,8.875425827852172
cpu_act,mlp_deep,None,remove,2,2,9.452686978090098
cpu_act,mlp_deep,None,remove,2,3,8.812996141844087
cpu_act,mlp_deep,None,remove,2,4,9.555195538874553
cpu_act,mlp_deep,None,remove,2,5,9.79280504823755
cpu_act,mlp_deep,None,remove,2,6,8.337167546975282
cpu_act,mlp_deep,None,remove,2,7,9.606470656240958
cpu_act,mlp_deep,None,remove,2,8,14.174702181350575
cpu_act,mlp_deep,None,remove,2,9,11.29472441648749
