dataset,model,detector,treatment,run,fold,score
cpu_act,mlp_deep,Percentile,remove,0,0,1060067.2811200381
cpu_act,mlp_deep,Percentile,remove,0,1,546421.1555837524
cpu_act,mlp_deep,Percentile,remove,0,2,829323.5454546926
cpu_act,mlp_deep,Percentile,remove,0,3,585587.1715930597
cpu_act,mlp_deep,Percentile,remove,0,4,1260946.4918373274
cpu_act,mlp_deep,Percentile,remove,0,5,95248.70719834736
cpu_act,mlp_deep,Percentile,remove,0,6,427302.7492773589
cpu_act,mlp_deep,Percentile,remove,0,7,238282.88324858982
cpu_act,mlp_deep,Percentile,remove,0,8,419784.2573389909
cpu_act,mlp_deep,Percentile,remove,0,9,1371029.1999835945
cpu_act,mlp_deep,Percentile,remove,1,0,131420.2899305564
cpu_act,mlp_deep,Percentile,remove,1,1,306669.90398359526
cpu_act,mlp_deep,Percentile,remove,1,2,809254.6721699497
cpu_act,mlp_deep,Percentile,remove,1,3,702049.8689303658
cpu_act,mlp_deep,Percentile,remove,1,4,1041626.5168343947
cpu_act,mlp_deep,Percentile,remove,1,5,694631.0597147562
cpu_act,mlp_deep,Percentile,remove,1,6,961022.5715848341
cpu_act,mlp_deep,Percentile,remove,1,7,933577.540635759
cpu_act,mlp_deep,Percentile,remove,1,8,1041239.9658084635
cpu_act,mlp_deep,Percentile,remove,1,9,1180914.8317185591
cpu_act,mlp_deep,Percentile,remove,2,0,659569.9423601805
cpu_act,mlp_deep,Percentile,remove,2,1,918713.1660226048
cpu_act,mlp_deep,Percentile,remove,2,2,627844.309388218
cpu_act,mlp_deep,Percentile,remove,2,3,1000490.7765658381
cpu_act,mlp_deep,Percentile,remove,2,4,648112.6833287504
cpu_act,mlp_deep,Percentile,remove,2,5,1593974.5849867614
cpu_act,mlp_deep,Percentile,remove,2,6,395201.85012506385
cpu_act,mlp_deep,Percentile,remove,2,7,156431.6806025154
cpu_act,mlp_deep,Percentile,remove,2,8,591948.1116974253
cpu_act,mlp_deep,Percentile,remove,2,9,509779.91476150515
