dataset,model,detector,treatment,run,fold,score
cpu_act,mlp_deep,ZScore,clip,0,0,12.397054908898902
cpu_act,mlp_deep,ZScore,clip,0,1,9.532982795323298
cpu_act,mlp_deep,ZScore,clip,0,2,9.558324448206971
cpu_act,mlp_deep,ZScore,clip,0,3,11.056901406083279
cpu_act,mlp_deep,ZScore,clip,0,4,9.98107993216602
cpu_act,mlp_deep,ZScore,clip,0,5,8.81508520953673
cpu_act,mlp_deep,ZScore,clip,0,6,9.314697623309302
cpu_act,mlp_deep,ZScore,clip,0,7,11.028256944289966
cpu_act,mlp_deep,ZScore,clip,0,8,9.108754494240063
cpu_act,mlp_deep,ZScore,clip,0,9,9.330502277289973
cpu_act,mlp_deep,ZScore,clip,1,0,9.275074743111006
cpu_act,mlp_deep,ZScore,clip,1,1,10.03143095586037
cpu_act,mlp_deep,ZScore,clip,1,2,10.15829762171299
cpu_act,mlp_deep,ZScore,clip,1,3,8.269578571826386
cpu_act,mlp_deep,ZScore,clip,1,4,10.930699359949863
cpu_act,mlp_deep,ZScore,clip,1,5,9.786456481264999
cpu_act,mlp_deep,ZScore,clip,1,6,9.097977300674913
cpu_act,mlp_deep,ZScore,clip,1,7,13.01937502601905
cpu_act,mlp_deep,ZScore,clip,1,8,10.934860136647945
cpu_act,mlp_deep,ZScore,clip,1,9,9.738343588471428
cpu_act,mlp_deep,ZScore,clip,2,0,10.82951679189298
cpu_act,mlp_deep,ZScore,clip,2,1,8.749642908136195
cpu_act,mlp_deep,ZScore,clip,2,2,9.65985199427832
cpu_act,mlp_deep,ZScore,clip,2,3,8.935686074755328
cpu_act,mlp_deep,ZScore,clip,2,4,9.243351916022053
cpu_act,mlp_deep,ZScore,clip,2,5,10.00274908005039
cpu_act,mlp_deep,ZScore,clip,2,6,8.261879460747817
cpu_act,mlp_deep,ZScore,clip,2,7,10.250372560122832
cpu_act,mlp_deep,ZScore,clip,2,8,15.151381634577811
cpu_act,mlp_deep,ZScore,clip,2,9,9.568442016010078
