dataset,model,detector,treatment,run,fold,score
cpu_act,randomforest,Autoencoder,remove,0,0,10.359626666666667
cpu_act,randomforest,Autoencoder,remove,0,1,7.747460761904763
cpu_act,randomforest,Autoencoder,remove,0,2,7.987459351145039
cpu_act,randomforest,Autoencoder,remove,0,3,10.364878816793894
cpu_act,randomforest,Autoencoder,remove,0,4,9.015122328244274
cpu_act,randomforest,Autoencoder,remove,0,5,8.317285877862597
cpu_act,randomforest,Autoencoder,remove,0,6,7.442191603053438
cpu_act,randomforest,Autoencoder,remove,0,7,8.781794083969466
cpu_act,randomforest,Autoencoder,remove,0,8,7.734300190839695
cpu_act,randomforest,Autoencoder,remove,0,9,8.376073091603052
cpu_act,randomforest,Autoencoder,remove,1,0,7.433160380952381
cpu_act,randomforest,Autoencoder,remove,1,1,8.30015542857143
cpu_act,randomforest,Autoencoder,remove,1,2,7.750091030534352
cpu_act,randomforest,Autoencoder,remove,1,3,7.67500572519084
cpu_act,randomforest,Autoencoder,remove,1,4,9.852700000000002
cpu_act,randomforest,Autoencoder,remove,1,5,7.760225
cpu_act,randomforest,Autoencoder,remove,1,6,8.269038740458013
cpu_act,randomforest,Autoencoder,remove,1,7,11.317615076335882
cpu_act,randomforest,Autoencoder,remove,1,8,9.275056297709925
cpu_act,randomforest,Autoencoder,remove,1,9,7.6674290076335865
cpu_act,randomforest,Autoencoder,remove,2,0,7.94639276190476
cpu_act,randomforest,Autoencoder,remove,2,1,8.579209142857142
cpu_act,randomforest,Autoencoder,remove,2,2,8.232136259541985
cpu_act,randomforest,Autoencoder,remove,2,3,8.185762022900763
cpu_act,randomforest,Autoencoder,remove,2,4,8.21159141221374
cpu_act,randomforest,Autoencoder,remove,2,5,8.248272709923665
cpu_act,randomforest,Autoencoder,remove,2,6,6.598683206106873
cpu_act,randomforest,Autoencoder,remove,2,7,8.503134732824428
cpu_act,randomforest,Autoencoder,remove,2,8,11.646728053435115
cpu_act,randomforest,Autoencoder,remove,2,9,8.251827480916031
