dataset,model,detector,treatment,run,fold,score
cpu_act,randomforest,IsolationForest,remove,0,0,10.707803428571427
cpu_act,randomforest,IsolationForest,remove,0,1,8.011228952380954
cpu_act,randomforest,IsolationForest,remove,0,2,7.9699520992366395
cpu_act,randomforest,IsolationForest,remove,0,3,10.538239503816795
cpu_act,randomforest,IsolationForest,remove,0,4,9.871198282442752
cpu_act,randomforest,IsolationForest,remove,0,5,8.614351526717558
cpu_act,randomforest,IsolationForest,remove,0,6,7.407380343511449
cpu_act,randomforest,IsolationForest,remove,0,7,9.19458187022901
cpu_act,randomforest,IsolationForest,remove,0,8,8.222970992366413
cpu_act,randomforest,IsolationForest,remove,0,9,8.487009923664122
cpu_act,randomforest,IsolationForest,remove,1,0,7.228143619047619
cpu_act,randomforest,IsolationForest,remove,1,1,8.831725333333331
cpu_act,randomforest,IsolationForest,remove,1,2,8.355062595419849
cpu_act,randomforest,IsolationForest,remove,1,3,7.543374236641221
cpu_act,randomforest,IsolationForest,remove,1,4,10.207308396946566
cpu_act,randomforest,IsolationForest,remove,1,5,7.617103053435115
cpu_act,randomforest,IsolationForest,remove,1,6,8.480996564885496
cpu_act,randomforest,IsolationForest,remove,1,7,11.165297709923664
cpu_act,randomforest,IsolationForest,remove,1,8,9.726410305343512
cpu_act,randomforest,IsolationForest,remove,1,9,8.279768511450383
cpu_act,randomforest,IsolationForest,remove,2,0,8.370527999999997
cpu_act,randomforest,IsolationForest,remove,2,1,8.899481904761906
cpu_act,randomforest,IsolationForest,remove,2,2,8.725670610687022
cpu_act,randomforest,IsolationForest,remove,2,3,8.452006488549618
cpu_act,randomforest,IsolationForest,remove,2,4,9.0301179389313
cpu_act,randomforest,IsolationForest,remove,2,5,8.484106297709923
cpu_act,randomforest,IsolationForest,remove,2,6,6.732973091603053
cpu_act,randomforest,IsolationForest,remove,2,7,8.797126526717557
cpu_act,randomforest,IsolationForest,remove,2,8,12.503592938931297
cpu_act,randomforest,IsolationForest,remove,2,9,8.957481870229007
