dataset,model,detector,treatment,run,fold,score
cpu_act,randomforest,None,remove,0,0,11.115177904761904
cpu_act,randomforest,None,remove,0,1,7.944284571428569
cpu_act,randomforest,None,remove,0,2,8.206323282442748
cpu_act,randomforest,None,remove,0,3,9.940731106870228
cpu_act,randomforest,None,remove,0,4,8.481882824427482
cpu_act,randomforest,None,remove,0,5,7.985161068702288
cpu_act,randomforest,None,remove,0,6,7.427891030534349
cpu_act,randomforest,None,remove,0,7,8.60545935114504
cpu_act,randomforest,None,remove,0,8,7.4287780534351135
cpu_act,randomforest,None,remove,0,9,8.148714312977097
cpu_act,randomforest,None,remove,1,0,7.073606666666666
cpu_act,randomforest,None,remove,1,1,8.36791238095238
cpu_act,randomforest,None,remove,1,2,7.6902818702290086
cpu_act,randomforest,None,remove,1,3,7.478236450381678
cpu_act,randomforest,None,remove,1,4,10.150237977099234
cpu_act,randomforest,None,remove,1,5,7.433652671755725
cpu_act,randomforest,None,remove,1,6,7.808306488549618
cpu_act,randomforest,None,remove,1,7,11.564576717557255
cpu_act,randomforest,None,remove,1,8,9.177215076335878
cpu_act,randomforest,None,remove,1,9,7.526319083969465
cpu_act,randomforest,None,remove,2,0,8.054877333333335
cpu_act,randomforest,None,remove,2,1,8.326017333333334
cpu_act,randomforest,None,remove,2,2,8.530940267175573
cpu_act,randomforest,None,remove,2,3,7.786143320610687
cpu_act,randomforest,None,remove,2,4,7.976316412213738
cpu_act,randomforest,None,remove,2,5,8.19121851145038
cpu_act,randomforest,None,remove,2,6,6.798664885496183
cpu_act,randomforest,None,remove,2,7,8.38894713740458
cpu_act,randomforest,None,remove,2,8,11.924512022900762
cpu_act,randomforest,None,remove,2,9,8.517853435114505
