dataset,model,detector,treatment,run,fold,score
cpu_act,randomforest,Percentile,clip,0,0,8.479909086537944
cpu_act,randomforest,Percentile,clip,0,1,8.243914527685961
cpu_act,randomforest,Percentile,clip,0,2,8.614236449422675
cpu_act,randomforest,Percentile,clip,0,3,17.522429887441394
cpu_act,randomforest,Percentile,clip,0,4,9.45814661259542
cpu_act,randomforest,Percentile,clip,0,5,8.647992970820377
cpu_act,randomforest,Percentile,clip,0,6,8.601988771843727
cpu_act,randomforest,Percentile,clip,0,7,9.729883021558708
cpu_act,randomforest,Percentile,clip,0,8,7.735896168147731
cpu_act,randomforest,Percentile,clip,0,9,9.813570107503116
cpu_act,randomforest,Percentile,clip,1,0,7.831076310995994
cpu_act,randomforest,Percentile,clip,1,1,9.002118358236153
cpu_act,randomforest,Percentile,clip,1,2,9.02178011876201
cpu_act,randomforest,Percentile,clip,1,3,7.824811517696627
cpu_act,randomforest,Percentile,clip,1,4,10.443561869122266
cpu_act,randomforest,Percentile,clip,1,5,7.760365161742531
cpu_act,randomforest,Percentile,clip,1,6,7.892103270780324
cpu_act,randomforest,Percentile,clip,1,7,14.018001424348801
cpu_act,randomforest,Percentile,clip,1,8,10.071945780100526
cpu_act,randomforest,Percentile,clip,1,9,8.84800625053038
cpu_act,randomforest,Percentile,clip,2,0,8.420575669496566
cpu_act,randomforest,Percentile,clip,2,1,8.60441364355784
cpu_act,randomforest,Percentile,clip,2,2,8.548906535042843
cpu_act,randomforest,Percentile,clip,2,3,9.46065149676188
cpu_act,randomforest,Percentile,clip,2,4,7.676382596327208
cpu_act,randomforest,Percentile,clip,2,5,8.724086972782866
cpu_act,randomforest,Percentile,clip,2,6,9.528692597723454
cpu_act,randomforest,Percentile,clip,2,7,15.184630720745638
cpu_act,randomforest,Percentile,clip,2,8,10.904915394677309
cpu_act,randomforest,Percentile,clip,2,9,9.167583218785396
