dataset,model,detector,treatment,run,fold,score
cpu_act,randomforest,Percentile,remove,0,0,384.0909620952381
cpu_act,randomforest,Percentile,remove,0,1,321.08955847619046
cpu_act,randomforest,Percentile,remove,0,2,286.849570038168
cpu_act,randomforest,Percentile,remove,0,3,397.5556358778626
cpu_act,randomforest,Percentile,remove,0,4,388.16450973282446
cpu_act,randomforest,Percentile,remove,0,5,234.59789790076334
cpu_act,randomforest,Percentile,remove,0,6,297.50698721374044
cpu_act,randomforest,Percentile,remove,0,7,168.32005954198473
cpu_act,randomforest,Percentile,remove,0,8,394.2400240458016
cpu_act,randomforest,Percentile,remove,0,9,197.5027799618321
cpu_act,randomforest,Percentile,remove,1,0,308.56425561904763
cpu_act,randomforest,Percentile,remove,1,1,287.7634339047619
cpu_act,randomforest,Percentile,remove,1,2,349.40107595419846
cpu_act,randomforest,Percentile,remove,1,3,264.7019799618321
cpu_act,randomforest,Percentile,remove,1,4,309.28559026717556
cpu_act,randomforest,Percentile,remove,1,5,356.2492883587786
cpu_act,randomforest,Percentile,remove,1,6,310.94962309160303
cpu_act,randomforest,Percentile,remove,1,7,295.85737118320606
cpu_act,randomforest,Percentile,remove,1,8,289.91626908396944
cpu_act,randomforest,Percentile,remove,1,9,289.2429614503817
cpu_act,randomforest,Percentile,remove,2,0,255.69547085714282
cpu_act,randomforest,Percentile,remove,2,1,410.04263161904765
cpu_act,randomforest,Percentile,remove,2,2,265.98082022900763
cpu_act,randomforest,Percentile,remove,2,3,347.9972503816794
cpu_act,randomforest,Percentile,remove,2,4,360.5512213740458
cpu_act,randomforest,Percentile,remove,2,5,359.3749927480916
cpu_act,randomforest,Percentile,remove,2,6,141.2239366412214
cpu_act,randomforest,Percentile,remove,2,7,327.70428549618316
cpu_act,randomforest,Percentile,remove,2,8,223.57577786259546
cpu_act,randomforest,Percentile,remove,2,9,376.48170286259545
