dataset,model,detector,treatment,run,fold,score
cpu_act,randomforest,ZScore,clip,0,0,11.030407809523808
cpu_act,randomforest,ZScore,clip,0,1,7.8438489523809505
cpu_act,randomforest,ZScore,clip,0,2,8.222015839694656
cpu_act,randomforest,ZScore,clip,0,3,9.821677671755724
cpu_act,randomforest,ZScore,clip,0,4,8.666187404580153
cpu_act,randomforest,ZScore,clip,0,5,8.33600171755725
cpu_act,randomforest,ZScore,clip,0,6,7.5155637404580125
cpu_act,randomforest,ZScore,clip,0,7,8.88797748091603
cpu_act,randomforest,ZScore,clip,0,8,7.4763080152671755
cpu_act,randomforest,ZScore,clip,0,9,8.295248473282443
cpu_act,randomforest,ZScore,clip,1,0,7.238954285714286
cpu_act,randomforest,ZScore,clip,1,1,8.402254476190475
cpu_act,randomforest,ZScore,clip,1,2,7.866440076335875
cpu_act,randomforest,ZScore,clip,1,3,7.366880152671756
cpu_act,randomforest,ZScore,clip,1,4,10.07399980916031
cpu_act,randomforest,ZScore,clip,1,5,7.577074236641222
cpu_act,randomforest,ZScore,clip,1,6,7.7654543893129775
cpu_act,randomforest,ZScore,clip,1,7,11.708406488549619
cpu_act,randomforest,ZScore,clip,1,8,9.493441984732824
cpu_act,randomforest,ZScore,clip,1,9,7.535581297709924
cpu_act,randomforest,ZScore,clip,2,0,8.097574857142858
cpu_act,randomforest,ZScore,clip,2,1,8.587558095238096
cpu_act,randomforest,ZScore,clip,2,2,8.684024999999998
cpu_act,randomforest,ZScore,clip,2,3,7.921883206106868
cpu_act,randomforest,ZScore,clip,2,4,7.826134160305345
cpu_act,randomforest,ZScore,clip,2,5,8.357497137404579
cpu_act,randomforest,ZScore,clip,2,6,6.920727671755723
cpu_act,randomforest,ZScore,clip,2,7,8.600517748091603
cpu_act,randomforest,ZScore,clip,2,8,12.01318683206107
cpu_act,randomforest,ZScore,clip,2,9,8.677145992366414
