dataset,model,detector,treatment,run,fold,score
cpu_act,xgboost,Autoencoder,remove,0,0,18.780677795410156
cpu_act,xgboost,Autoencoder,remove,0,1,7.1580810546875
cpu_act,xgboost,Autoencoder,remove,0,2,7.489115238189697
cpu_act,xgboost,Autoencoder,remove,0,3,8.942755699157715
cpu_act,xgboost,Autoencoder,remove,0,4,7.531157970428467
cpu_act,xgboost,Autoencoder,remove,0,5,7.96871280670166
cpu_act,xgboost,Autoencoder,remove,0,6,8.356532096862793
cpu_act,xgboost,Autoencoder,remove,0,7,8.508193969726562
cpu_act,xgboost,Autoencoder,remove,0,8,6.988890647888184
cpu_act,xgboost,Autoencoder,remove,0,9,7.3592023849487305
cpu_act,xgboost,Autoencoder,remove,1,0,7.694164752960205
cpu_act,xgboost,Autoencoder,remove,1,1,7.280756950378418
cpu_act,xgboost,Autoencoder,remove,1,2,8.129902839660645
cpu_act,xgboost,Autoencoder,remove,1,3,7.777629375457764
cpu_act,xgboost,Autoencoder,remove,1,4,8.9631929397583
cpu_act,xgboost,Autoencoder,remove,1,5,7.004577159881592
cpu_act,xgboost,Autoencoder,remove,1,6,7.2768635749816895
cpu_act,xgboost,Autoencoder,remove,1,7,18.732099533081055
cpu_act,xgboost,Autoencoder,remove,1,8,8.757378578186035
cpu_act,xgboost,Autoencoder,remove,1,9,8.056992530822754
cpu_act,xgboost,Autoencoder,remove,2,0,7.689716339111328
cpu_act,xgboost,Autoencoder,remove,2,1,8.566093444824219
cpu_act,xgboost,Autoencoder,remove,2,2,7.180028915405273
cpu_act,xgboost,Autoencoder,remove,2,3,7.666742324829102
cpu_act,xgboost,Autoencoder,remove,2,4,7.750967979431152
cpu_act,xgboost,Autoencoder,remove,2,5,7.878181457519531
cpu_act,xgboost,Autoencoder,remove,2,6,7.157806396484375
cpu_act,xgboost,Autoencoder,remove,2,7,8.472712516784668
cpu_act,xgboost,Autoencoder,remove,2,8,20.285924911499023
cpu_act,xgboost,Autoencoder,remove,2,9,8.463322639465332
