dataset,model,detector,treatment,run,fold,score
cpu_act,xgboost,IsolationForest,remove,0,0,19.565258026123047
cpu_act,xgboost,IsolationForest,remove,0,1,8.213386535644531
cpu_act,xgboost,IsolationForest,remove,0,2,8.28242015838623
cpu_act,xgboost,IsolationForest,remove,0,3,9.718486785888672
cpu_act,xgboost,IsolationForest,remove,0,4,8.721484184265137
cpu_act,xgboost,IsolationForest,remove,0,5,8.867323875427246
cpu_act,xgboost,IsolationForest,remove,0,6,8.181109428405762
cpu_act,xgboost,IsolationForest,remove,0,7,20.316373825073242
cpu_act,xgboost,IsolationForest,remove,0,8,8.369280815124512
cpu_act,xgboost,IsolationForest,remove,0,9,7.880460739135742
cpu_act,xgboost,IsolationForest,remove,1,0,6.949249267578125
cpu_act,xgboost,IsolationForest,remove,1,1,32.0787239074707
cpu_act,xgboost,IsolationForest,remove,1,2,8.529767990112305
cpu_act,xgboost,IsolationForest,remove,1,3,8.328643798828125
cpu_act,xgboost,IsolationForest,remove,1,4,10.795546531677246
cpu_act,xgboost,IsolationForest,remove,1,5,6.626561641693115
cpu_act,xgboost,IsolationForest,remove,1,6,8.021510124206543
cpu_act,xgboost,IsolationForest,remove,1,7,20.30299949645996
cpu_act,xgboost,IsolationForest,remove,1,8,8.503494262695312
cpu_act,xgboost,IsolationForest,remove,1,9,7.584499835968018
cpu_act,xgboost,IsolationForest,remove,2,0,8.175307273864746
cpu_act,xgboost,IsolationForest,remove,2,1,8.121832847595215
cpu_act,xgboost,IsolationForest,remove,2,2,7.881016731262207
cpu_act,xgboost,IsolationForest,remove,2,3,30.647371292114258
cpu_act,xgboost,IsolationForest,remove,2,4,8.894933700561523
cpu_act,xgboost,IsolationForest,remove,2,5,8.375200271606445
cpu_act,xgboost,IsolationForest,remove,2,6,7.394558906555176
cpu_act,xgboost,IsolationForest,remove,2,7,8.256667137145996
cpu_act,xgboost,IsolationForest,remove,2,8,21.35377311706543
cpu_act,xgboost,IsolationForest,remove,2,9,9.088329315185547
