dataset,model,detector,treatment,run,fold,score
cpu_act,xgboost,LOF,remove,0,0,20.314090728759766
cpu_act,xgboost,LOF,remove,0,1,7.883445739746094
cpu_act,xgboost,LOF,remove,0,2,7.54214334487915
cpu_act,xgboost,LOF,remove,0,3,9.27450180053711
cpu_act,xgboost,LOF,remove,0,4,7.720726490020752
cpu_act,xgboost,LOF,remove,0,5,8.02651309967041
cpu_act,xgboost,LOF,remove,0,6,8.138145446777344
cpu_act,xgboost,LOF,remove,0,7,19.044782638549805
cpu_act,xgboost,LOF,remove,0,8,7.089946746826172
cpu_act,xgboost,LOF,remove,0,9,7.868250846862793
cpu_act,xgboost,LOF,remove,1,0,7.257770538330078
cpu_act,xgboost,LOF,remove,1,1,29.261451721191406
cpu_act,xgboost,LOF,remove,1,2,8.58126163482666
cpu_act,xgboost,LOF,remove,1,3,8.096324920654297
cpu_act,xgboost,LOF,remove,1,4,8.913339614868164
cpu_act,xgboost,LOF,remove,1,5,6.910048007965088
cpu_act,xgboost,LOF,remove,1,6,7.107621192932129
cpu_act,xgboost,LOF,remove,1,7,20.147144317626953
cpu_act,xgboost,LOF,remove,1,8,8.158288955688477
cpu_act,xgboost,LOF,remove,1,9,6.914182186126709
cpu_act,xgboost,LOF,remove,2,0,7.679421424865723
cpu_act,xgboost,LOF,remove,2,1,7.838277339935303
cpu_act,xgboost,LOF,remove,2,2,7.440909385681152
cpu_act,xgboost,LOF,remove,2,3,30.3873233795166
cpu_act,xgboost,LOF,remove,2,4,7.703665256500244
cpu_act,xgboost,LOF,remove,2,5,7.99827241897583
cpu_act,xgboost,LOF,remove,2,6,6.7029523849487305
cpu_act,xgboost,LOF,remove,2,7,7.323212623596191
cpu_act,xgboost,LOF,remove,2,8,19.894851684570312
cpu_act,xgboost,LOF,remove,2,9,8.005087852478027
