dataset,model,detector,treatment,run,fold,score
cpu_act,xgboost,None,remove,0,0,18.577205657958984
cpu_act,xgboost,None,remove,0,1,6.8581132888793945
cpu_act,xgboost,None,remove,0,2,8.294742584228516
cpu_act,xgboost,None,remove,0,3,8.590039253234863
cpu_act,xgboost,None,remove,0,4,7.274128437042236
cpu_act,xgboost,None,remove,0,5,8.138297080993652
cpu_act,xgboost,None,remove,0,6,7.585503101348877
cpu_act,xgboost,None,remove,0,7,8.666375160217285
cpu_act,xgboost,None,remove,0,8,7.353058338165283
cpu_act,xgboost,None,remove,0,9,8.282976150512695
cpu_act,xgboost,None,remove,1,0,7.1502203941345215
cpu_act,xgboost,None,remove,1,1,7.893618106842041
cpu_act,xgboost,None,remove,1,2,8.453784942626953
cpu_act,xgboost,None,remove,1,3,7.281702995300293
cpu_act,xgboost,None,remove,1,4,9.725173950195312
cpu_act,xgboost,None,remove,1,5,6.7877726554870605
cpu_act,xgboost,None,remove,1,6,7.118311405181885
cpu_act,xgboost,None,remove,1,7,19.724258422851562
cpu_act,xgboost,None,remove,1,8,7.8840789794921875
cpu_act,xgboost,None,remove,1,9,7.284350395202637
cpu_act,xgboost,None,remove,2,0,6.95449161529541
cpu_act,xgboost,None,remove,2,1,7.987610816955566
cpu_act,xgboost,None,remove,2,2,7.617707252502441
cpu_act,xgboost,None,remove,2,3,7.205554485321045
cpu_act,xgboost,None,remove,2,4,7.68812370300293
cpu_act,xgboost,None,remove,2,5,7.589788913726807
cpu_act,xgboost,None,remove,2,6,6.438028335571289
cpu_act,xgboost,None,remove,2,7,8.453872680664062
cpu_act,xgboost,None,remove,2,8,21.153141021728516
cpu_act,xgboost,None,remove,2,9,8.495660781860352
