dataset,model,detector,treatment,run,fold,score
cpu_act,xgboost,Percentile,clip,0,0,8.379700660705566
cpu_act,xgboost,Percentile,clip,0,1,7.83257532119751
cpu_act,xgboost,Percentile,clip,0,2,9.095417976379395
cpu_act,xgboost,Percentile,clip,0,3,10.190406799316406
cpu_act,xgboost,Percentile,clip,0,4,8.78573226928711
cpu_act,xgboost,Percentile,clip,0,5,8.900187492370605
cpu_act,xgboost,Percentile,clip,0,6,9.073846817016602
cpu_act,xgboost,Percentile,clip,0,7,9.401982307434082
cpu_act,xgboost,Percentile,clip,0,8,8.344583511352539
cpu_act,xgboost,Percentile,clip,0,9,9.308505058288574
cpu_act,xgboost,Percentile,clip,1,0,7.413053035736084
cpu_act,xgboost,Percentile,clip,1,1,8.485897064208984
cpu_act,xgboost,Percentile,clip,1,2,10.535726547241211
cpu_act,xgboost,Percentile,clip,1,3,8.27035903930664
cpu_act,xgboost,Percentile,clip,1,4,10.053910255432129
cpu_act,xgboost,Percentile,clip,1,5,7.461943626403809
cpu_act,xgboost,Percentile,clip,1,6,7.816484451293945
cpu_act,xgboost,Percentile,clip,1,7,8.458736419677734
cpu_act,xgboost,Percentile,clip,1,8,8.801080703735352
cpu_act,xgboost,Percentile,clip,1,9,8.375391006469727
cpu_act,xgboost,Percentile,clip,2,0,7.995338439941406
cpu_act,xgboost,Percentile,clip,2,1,8.210591316223145
cpu_act,xgboost,Percentile,clip,2,2,7.989268779754639
cpu_act,xgboost,Percentile,clip,2,3,8.323101043701172
cpu_act,xgboost,Percentile,clip,2,4,8.384413719177246
cpu_act,xgboost,Percentile,clip,2,5,8.569267272949219
cpu_act,xgboost,Percentile,clip,2,6,6.749707221984863
cpu_act,xgboost,Percentile,clip,2,7,9.040240287780762
cpu_act,xgboost,Percentile,clip,2,8,10.217918395996094
cpu_act,xgboost,Percentile,clip,2,9,8.926505088806152
