dataset,model,detector,treatment,run,fold,score
cpu_act,xgboost,ZScore,remove,0,0,353.14654541015625
cpu_act,xgboost,ZScore,remove,0,1,298.01007080078125
cpu_act,xgboost,ZScore,remove,0,2,256.6867980957031
cpu_act,xgboost,ZScore,remove,0,3,364.6317138671875
cpu_act,xgboost,ZScore,remove,0,4,365.8668212890625
cpu_act,xgboost,ZScore,remove,0,5,219.08441162109375
cpu_act,xgboost,ZScore,remove,0,6,280.26507568359375
cpu_act,xgboost,ZScore,remove,0,7,158.13526916503906
cpu_act,xgboost,ZScore,remove,0,8,366.6293029785156
cpu_act,xgboost,ZScore,remove,0,9,182.76974487304688
cpu_act,xgboost,ZScore,remove,1,0,276.4816589355469
cpu_act,xgboost,ZScore,remove,1,1,263.69744873046875
cpu_act,xgboost,ZScore,remove,1,2,321.8023376464844
cpu_act,xgboost,ZScore,remove,1,3,241.85626220703125
cpu_act,xgboost,ZScore,remove,1,4,279.8991394042969
cpu_act,xgboost,ZScore,remove,1,5,320.8514709472656
cpu_act,xgboost,ZScore,remove,1,6,290.0559387207031
cpu_act,xgboost,ZScore,remove,1,7,266.2181701660156
cpu_act,xgboost,ZScore,remove,1,8,274.3367004394531
cpu_act,xgboost,ZScore,remove,1,9,262.5898742675781
cpu_act,xgboost,ZScore,remove,2,0,232.6415252685547
cpu_act,xgboost,ZScore,remove,2,1,375.40130615234375
cpu_act,xgboost,ZScore,remove,2,2,250.38743591308594
cpu_act,xgboost,ZScore,remove,2,3,310.38714599609375
cpu_act,xgboost,ZScore,remove,2,4,331.6309509277344
cpu_act,xgboost,ZScore,remove,2,5,323.2564392089844
cpu_act,xgboost,ZScore,remove,2,6,129.01882934570312
cpu_act,xgboost,ZScore,remove,2,7,308.28179931640625
cpu_act,xgboost,ZScore,remove,2,8,195.7604522705078
cpu_act,xgboost,ZScore,remove,2,9,368.9761047363281
