dataset,model,detector,treatment,run,fold,score
elevators,mlp,Autoencoder,remove,0,0,0.010140358054408822
elevators,mlp,Autoencoder,remove,0,1,0.0009026684676665633
elevators,mlp,Autoencoder,remove,0,2,0.0012052604399630945
elevators,mlp,Autoencoder,remove,0,3,0.0009936173608312135
elevators,mlp,Autoencoder,remove,0,4,0.0006836708054562966
elevators,mlp,Autoencoder,remove,0,5,0.0017148813416802975
elevators,mlp,Autoencoder,remove,0,6,0.0008233233087784011
elevators,mlp,Autoencoder,remove,0,7,0.0015848381612665395
elevators,mlp,Autoencoder,remove,0,8,0.000936124520403469
elevators,mlp,Autoencoder,remove,0,9,0.001153675146178649
elevators,mlp,Autoencoder,remove,1,0,0.0007106066695171146
elevators,mlp,Autoencoder,remove,1,1,0.001283035456622467
elevators,mlp,Autoencoder,remove,1,2,0.0013175026353641221
elevators,mlp,Autoencoder,remove,1,3,0.0020728448677678197
elevators,mlp,Autoencoder,remove,1,4,0.0010453548453854497
elevators,mlp,Autoencoder,remove,1,5,0.0024819770358245775
elevators,mlp,Autoencoder,remove,1,6,0.001014234322370781
elevators,mlp,Autoencoder,remove,1,7,0.001299240594326948
elevators,mlp,Autoencoder,remove,1,8,0.0012002899718028296
elevators,mlp,Autoencoder,remove,1,9,0.0013578642871687554
elevators,mlp,Autoencoder,remove,2,0,0.0015032357662135122
elevators,mlp,Autoencoder,remove,2,1,0.0013580835283745975
elevators,mlp,Autoencoder,remove,2,2,0.0017575860925873397
elevators,mlp,Autoencoder,remove,2,3,0.001183423994006455
elevators,mlp,Autoencoder,remove,2,4,0.0016977021069293826
elevators,mlp,Autoencoder,remove,2,5,0.001406583100997804
elevators,mlp,Autoencoder,remove,2,6,0.0008695866645110507
elevators,mlp,Autoencoder,remove,2,7,0.008267353500978862
elevators,mlp,Autoencoder,remove,2,8,0.0009258511567920253
elevators,mlp,Autoencoder,remove,2,9,0.0019350518705684506
