dataset,model,detector,treatment,run,fold,score
elevators,mlp,None,remove,0,0,0.015036477513340142
elevators,mlp,None,remove,0,1,0.001189885834565657
elevators,mlp,None,remove,0,2,0.0012143097854882105
elevators,mlp,None,remove,0,3,0.0005385478526303775
elevators,mlp,None,remove,0,4,0.002219433898863374
elevators,mlp,None,remove,0,5,0.0021124826335885576
elevators,mlp,None,remove,0,6,0.0008121560733635283
elevators,mlp,None,remove,0,7,0.0014354708659558536
elevators,mlp,None,remove,0,8,0.0009328522528881955
elevators,mlp,None,remove,0,9,0.001004576992096395
elevators,mlp,None,remove,1,0,0.0005794029980788612
elevators,mlp,None,remove,1,1,0.0013013203888610069
elevators,mlp,None,remove,1,2,0.0012483622044773344
elevators,mlp,None,remove,1,3,0.0008125287047057235
elevators,mlp,None,remove,1,4,0.009985521756169539
elevators,mlp,None,remove,1,5,0.0015233984484581465
elevators,mlp,None,remove,1,6,0.0009410982617922193
elevators,mlp,None,remove,1,7,0.0012971873813153272
elevators,mlp,None,remove,1,8,0.0011305638285197216
elevators,mlp,None,remove,1,9,0.0011971743349599815
elevators,mlp,None,remove,2,0,0.001363444737586988
elevators,mlp,None,remove,2,1,0.0013573983656202356
elevators,mlp,None,remove,2,2,0.0031509091423937074
elevators,mlp,None,remove,2,3,0.0008555829264855858
elevators,mlp,None,remove,2,4,0.0027629945412883513
elevators,mlp,None,remove,2,5,0.0013229615237599925
elevators,mlp,None,remove,2,6,0.0008776868998608947
elevators,mlp,None,remove,2,7,0.012811771857079605
elevators,mlp,None,remove,2,8,0.0006992406691714035
elevators,mlp,None,remove,2,9,0.0017481811173945695
