dataset,model,detector,treatment,run,fold,score
elevators,mlp,Percentile,clip,0,0,0.0008722174543609106
elevators,mlp,Percentile,clip,0,1,0.000758188173086114
elevators,mlp,Percentile,clip,0,2,0.0010420004288387691
elevators,mlp,Percentile,clip,0,3,0.0007418692043562172
elevators,mlp,Percentile,clip,0,4,0.0010274334678018586
elevators,mlp,Percentile,clip,0,5,0.0011518309067046087
elevators,mlp,Percentile,clip,0,6,0.0005852733872312514
elevators,mlp,Percentile,clip,0,7,0.0011847289826884694
elevators,mlp,Percentile,clip,0,8,0.0010024175065914502
elevators,mlp,Percentile,clip,0,9,0.0006100616330145895
elevators,mlp,Percentile,clip,1,0,0.0009661716792936652
elevators,mlp,Percentile,clip,1,1,0.0009190124447681316
elevators,mlp,Percentile,clip,1,2,0.0010342242408710944
elevators,mlp,Percentile,clip,1,3,0.0005781763484962109
elevators,mlp,Percentile,clip,1,4,0.0007080013572461298
elevators,mlp,Percentile,clip,1,5,0.001119545108847572
elevators,mlp,Percentile,clip,1,6,0.000750089618376706
elevators,mlp,Percentile,clip,1,7,0.0008769812654920244
elevators,mlp,Percentile,clip,1,8,0.0008007162221955998
elevators,mlp,Percentile,clip,1,9,0.001014985328949073
elevators,mlp,Percentile,clip,2,0,0.0012323772813645454
elevators,mlp,Percentile,clip,2,1,0.0012045960410811485
elevators,mlp,Percentile,clip,2,2,0.0007637238055692555
elevators,mlp,Percentile,clip,2,3,0.001010139209900327
elevators,mlp,Percentile,clip,2,4,0.0010151216785119945
elevators,mlp,Percentile,clip,2,5,0.0011880549853293888
elevators,mlp,Percentile,clip,2,6,0.001041895780949006
elevators,mlp,Percentile,clip,2,7,0.0006286489214092913
elevators,mlp,Percentile,clip,2,8,0.0007080050781304082
elevators,mlp,Percentile,clip,2,9,0.0013233496787543408
