dataset,model,detector,treatment,run,fold,score
elevators,mlp,Percentile,remove,0,0,0.005466136701760941
elevators,mlp,Percentile,remove,0,1,0.004780242150496681
elevators,mlp,Percentile,remove,0,2,0.005231500268791088
elevators,mlp,Percentile,remove,0,3,0.004098078385642095
elevators,mlp,Percentile,remove,0,4,0.006811298963333461
elevators,mlp,Percentile,remove,0,5,0.007234724150113365
elevators,mlp,Percentile,remove,0,6,0.006529421903621233
elevators,mlp,Percentile,remove,0,7,0.007878812023269078
elevators,mlp,Percentile,remove,0,8,0.004923691225644309
elevators,mlp,Percentile,remove,0,9,0.005361538808561221
elevators,mlp,Percentile,remove,1,0,0.006530635799931996
elevators,mlp,Percentile,remove,1,1,0.007392311441582072
elevators,mlp,Percentile,remove,1,2,0.005851911470993248
elevators,mlp,Percentile,remove,1,3,0.003957830555858175
elevators,mlp,Percentile,remove,1,4,0.003267487257693
elevators,mlp,Percentile,remove,1,5,0.01099138361304364
elevators,mlp,Percentile,remove,1,6,0.0033180924612642507
elevators,mlp,Percentile,remove,1,7,0.005354810667910741
elevators,mlp,Percentile,remove,1,8,0.003791794240385395
elevators,mlp,Percentile,remove,1,9,0.00614590700494669
elevators,mlp,Percentile,remove,2,0,0.0065662595959567775
elevators,mlp,Percentile,remove,2,1,0.005960349349713007
elevators,mlp,Percentile,remove,2,2,0.003809696560790747
elevators,mlp,Percentile,remove,2,3,0.007471205569203363
elevators,mlp,Percentile,remove,2,4,0.00519437216620842
elevators,mlp,Percentile,remove,2,5,0.007106152656990799
elevators,mlp,Percentile,remove,2,6,0.004875354219993252
elevators,mlp,Percentile,remove,2,7,0.0034493381627914107
elevators,mlp,Percentile,remove,2,8,0.00417693943113939
elevators,mlp,Percentile,remove,2,9,0.006758497887597831
