dataset,model,detector,treatment,run,fold,score
elevators,mlp,ZScore,clip,0,0,0.009320192349618376
elevators,mlp,ZScore,clip,0,1,0.0008642788011738437
elevators,mlp,ZScore,clip,0,2,0.001281617949477978
elevators,mlp,ZScore,clip,0,3,0.001085805942936722
elevators,mlp,ZScore,clip,0,4,0.001738111579072124
elevators,mlp,ZScore,clip,0,5,0.002228673662329133
elevators,mlp,ZScore,clip,0,6,0.0010765942538313938
elevators,mlp,ZScore,clip,0,7,0.0013702681225903034
elevators,mlp,ZScore,clip,0,8,0.0006034780319663514
elevators,mlp,ZScore,clip,0,9,0.000982851620685432
elevators,mlp,ZScore,clip,1,0,0.0009175143707581147
elevators,mlp,ZScore,clip,1,1,0.001592065608553383
elevators,mlp,ZScore,clip,1,2,0.0012381506789501545
elevators,mlp,ZScore,clip,1,3,0.00149515512236131
elevators,mlp,ZScore,clip,1,4,0.01183124979122938
elevators,mlp,ZScore,clip,1,5,0.00299743655667548
elevators,mlp,ZScore,clip,1,6,0.0009770333836821063
elevators,mlp,ZScore,clip,1,7,0.031437276987602354
elevators,mlp,ZScore,clip,1,8,0.0011400030085915403
elevators,mlp,ZScore,clip,1,9,0.0013079277320288219
elevators,mlp,ZScore,clip,2,0,0.0012404829759206034
elevators,mlp,ZScore,clip,2,1,0.0013160237153632159
elevators,mlp,ZScore,clip,2,2,0.0004848498603757458
elevators,mlp,ZScore,clip,2,3,0.0011921074115620372
elevators,mlp,ZScore,clip,2,4,0.001157254047916039
elevators,mlp,ZScore,clip,2,5,0.001345336024162949
elevators,mlp,ZScore,clip,2,6,0.001206946472241697
elevators,mlp,ZScore,clip,2,7,0.0035925167267736044
elevators,mlp,ZScore,clip,2,8,0.0012504909565522596
elevators,mlp,ZScore,clip,2,9,0.00169237340765135
