dataset,model,detector,treatment,run,fold,score
elevators,mlp_deep,Autoencoder,remove,0,0,0.06459385674602315
elevators,mlp_deep,Autoencoder,remove,0,1,4.076040970323342e-06
elevators,mlp_deep,Autoencoder,remove,0,2,8.282220972970294e-06
elevators,mlp_deep,Autoencoder,remove,0,3,2.5424547241844097e-05
elevators,mlp_deep,Autoencoder,remove,0,4,4.4255727778287195e-06
elevators,mlp_deep,Autoencoder,remove,0,5,0.00013613365247808724
elevators,mlp_deep,Autoencoder,remove,0,6,2.2156115133540108e-05
elevators,mlp_deep,Autoencoder,remove,0,7,8.381088012198788e-06
elevators,mlp_deep,Autoencoder,remove,0,8,3.980618889286955e-06
elevators,mlp_deep,Autoencoder,remove,0,9,0.0002016962774102311
elevators,mlp_deep,Autoencoder,remove,1,0,1.9375901508457993e-05
elevators,mlp_deep,Autoencoder,remove,1,1,5.015525275621824e-05
elevators,mlp_deep,Autoencoder,remove,1,2,0.00014974271146828792
elevators,mlp_deep,Autoencoder,remove,1,3,0.0006512185373083433
elevators,mlp_deep,Autoencoder,remove,1,4,1.69587818272411e-05
elevators,mlp_deep,Autoencoder,remove,1,5,3.997552880584809e-05
elevators,mlp_deep,Autoencoder,remove,1,6,3.924098413522103e-06
elevators,mlp_deep,Autoencoder,remove,1,7,7.964029089448815e-06
elevators,mlp_deep,Autoencoder,remove,1,8,3.831644367374884e-06
elevators,mlp_deep,Autoencoder,remove,1,9,3.892349438728312e-06
elevators,mlp_deep,Autoencoder,remove,2,0,4.2041587271774e-06
elevators,mlp_deep,Autoencoder,remove,2,1,1.1956345088308744e-05
elevators,mlp_deep,Autoencoder,remove,2,2,7.087136382710746e-06
elevators,mlp_deep,Autoencoder,remove,2,3,7.9553965258942e-06
elevators,mlp_deep,Autoencoder,remove,2,4,0.0002714325406926914
elevators,mlp_deep,Autoencoder,remove,2,5,7.775047655896805e-05
elevators,mlp_deep,Autoencoder,remove,2,6,2.4909156132295767e-05
elevators,mlp_deep,Autoencoder,remove,2,7,7.049220797481771e-05
elevators,mlp_deep,Autoencoder,remove,2,8,4.161551867769085e-06
elevators,mlp_deep,Autoencoder,remove,2,9,8.568296906393517e-05
